Education,Income,Own_Home,Debt,Car,Loan
Vocational,180409.76,Yes,43046.64,4086.83,Yes
College,136163.18,No,383300.23,36004.17,Yes
Vocational,174310.47,Yes,94317.06,24859.42,Yes
College,45333.06,Yes,139549.40,3309.79,Yes
Primary,96280.78,No,189802.58,9328.76,No
Primary,99707.83,Yes,72201.97,48619.30,No
College,117725.00,Yes,385286.53,25417.77,Yes
College,173022.69,No,394689.91,32420.85,Yes
College,108167.26,Yes,472976.01,37674.85,Yes
Primary,193545.40,No,104537.43,38503.88,No
Primary,157611.87,Yes,251402.33,46397.56,Yes
College,192147.43,Yes,368271.72,11062.23,Yes
Vocational,137838.56,No,16650.81,32831.03,Yes
Vocational,32871.21,Yes,60848.73,25461.97,Yes
Primary,167864.24,Yes,76793.89,18856.31,Yes
Primary,119095.46,No,361536.55,44334.70,Yes
College,107579.15,Yes,342567.73,4503.84,Yes
Vocational,41559.76,Yes,354099.93,22963.06,No
Primary,182012.43,Yes,169950.34,23268.19,Yes
College,38726.53,Yes,326911.25,4046.84,Yes
Vocational,183144.01,No,215171.16,44943.42,Yes
Vocational,95787.26,No,402814.57,9367.00,No
College,157834.19,Yes,72810.48,25670.84,Yes
College,68085.58,No,14339.32,29035.62,No
Vocational,170345.26,No,494070.40,6236.57,Yes
College,44699.02,Yes,199078.57,25859.59,Yes
College,99088.43,Yes,239703.02,5626.12,Yes
Primary,50773.51,Yes,96517.53,22809.09,Yes
College,189663.02,No,180059.88,29505.63,No
College,150182.32,Yes,303229.28,40039.04,Yes
Primary,59104.71,Yes,88.28,18934.44,Yes
Primary,41240.64,No,266014.11,46603.52,No
Primary,191640.76,Yes,109559.11,12834.90,Yes
Primary,122580.32,Yes,156701.97,18534.13,Yes
Vocational,78958.31,Yes,213320.97,33889.90,Yes
Primary,196764.26,No,470547.13,40425.12,Yes
College,175748.02,No,264435.77,40830.85,Yes
Vocational,169469.83,No,215310.41,45450.58,Yes
Vocational,193590.99,No,476845.86,17301.13,Yes
Primary,45000.86,Yes,376634.58,13981.96,No
Primary,48656.82,No,111016.91,16741.21,No
Vocational,37922.83,No,19105.78,18265.99,No
Primary,129559.04,No,104700.16,15989.89,No
Vocational,129403.18,No,421793.86,15627.89,Yes
Vocational,83893.05,Yes,37666.65,36834.43,No
Primary,66163.82,Yes,369761.97,16535.69,No
Vocational,64356.71,No,6348.43,25813.25,No
Primary,154486.62,Yes,403666.21,45364.19,Yes
Vocational,180949.51,No,428679.21,27801.95,Yes
Primary,145467.35,Yes,343844.12,25317.59,Yes
Vocational,88746.30,Yes,447756.28,49910.74,Yes
Primary,84073.00,Yes,209939.67,32808.80,Yes
Primary,96843.27,Yes,112045.02,42075.61,Yes
Vocational,53529.37,No,238617.05,9913.85,No
Primary,92640.03,No,269471.65,29536.61,No
College,65879.51,No,225009.24,31869.75,No
Vocational,194964.69,Yes,193904.57,1297.98,No
Vocational,183052.85,No,465108.85,31122.16,Yes
Vocational,74746.48,No,23622.50,38216.91,No
College,104792.10,Yes,252319.08,48636.74,Yes
College,142311.69,Yes,123397.27,46755.10,Yes
Primary,68281.49,No,52342.83,10923.33,No
College,106486.13,Yes,429621.99,16745.09,Yes
Vocational,153226.83,No,202316.01,3637.81,Yes
College,65742.52,No,212229.47,47060.98,No
Vocational,155459.12,No,285447.16,39389.03,Yes
Vocational,170324.27,Yes,130144.76,28173.80,Yes
College,62973.12,Yes,480541.09,10824.49,No
College,32042.31,Yes,244763.70,32227.88,Yes
Primary,76236.85,No,87811.39,3701.22,Yes
Vocational,163553.71,No,258903.02,2942.50,Yes
Vocational,77562.73,No,206582.88,45129.13,No
College,57782.40,No,282401.70,790.83,No
Primary,130999.29,No,420633.89,42349.96,Yes
Primary,53053.21,Yes,100771.02,32320.94,Yes
College,65483.23,Yes,423975.57,39298.05,No
Vocational,190036.08,Yes,83755.31,42091.59,Yes
Vocational,95022.29,No,469407.63,21847.75,No
Vocational,56449.43,Yes,329019.24,23989.15,No
College,61562.21,No,99486.28,26226.58,Yes
College,32754.71,Yes,407329.44,10923.54,Yes
College,165624.38,No,47020.21,36855.88,Yes
College,91369.89,Yes,445205.38,41820.17,No
Vocational,95223.59,Yes,367001.27,35197.39,No
Primary,91794.26,Yes,272286.47,3127.16,Yes
Primary,141581.14,No,119191.73,38789.85,No
College,124428.61,No,33171.61,36730.37,Yes
Primary,126652.00,Yes,263844.13,30675.30,Yes
Primary,127727.37,No,440891.56,13451.57,Yes
College,163761.57,Yes,470499.11,29052.83,Yes
Vocational,172299.03,No,43519.16,24876.54,Yes
Primary,187786.92,No,297967.71,9208.07,Yes
Vocational,65711.55,Yes,261659.79,33844.45,Yes
College,101273.52,Yes,305084.50,35245.43,Yes
Vocational,146178.43,No,457684.13,14655.27,Yes
Primary,35779.64,Yes,384168.97,8090.47,Yes
Vocational,188732.69,No,126940.55,30503.85,No
Vocational,161255.74,Yes,147002.99,16567.11,Yes
College,90644.91,No,27938.23,7403.83,No
College,59485.85,No,69169.64,35644.63,Yes
Vocational,182962.60,No,334668.27,31580.97,Yes
Primary,143987.26,No,211117.00,49096.10,Yes
College,58926.67,Yes,380484.43,14181.31,No
College,146680.35,Yes,49585.99,4814.73,Yes
Vocational,112724.59,No,146240.45,32248.90,Yes
Primary,178348.62,Yes,35151.00,31233.06,Yes
Primary,111626.31,Yes,321994.22,24514.66,Yes
Vocational,166840.19,No,230794.46,249.47,Yes
College,75452.89,No,285286.03,14601.48,No
Vocational,69306.18,No,93515.91,43658.92,Yes
Vocational,167946.40,No,188069.17,34196.22,Yes
Vocational,183802.61,No,165867.24,36708.88,No
Primary,95091.19,No,461978.22,1086.36,No
Primary,73066.05,Yes,65471.38,2803.45,No
Primary,95188.54,Yes,466143.06,37745.13,No
Primary,153420.42,No,127675.73,41433.47,No
Vocational,151931.02,No,86143.33,23105.11,Yes
College,52952.57,No,312466.94,24797.70,No
Primary,165667.29,Yes,166041.47,23245.97,Yes
College,88461.41,No,56373.70,28519.24,No
College,148386.25,Yes,99543.39,28547.60,Yes
Primary,138452.22,Yes,228398.19,5726.98,Yes
Vocational,94752.71,No,295714.62,19863.98,No
Primary,178529.61,No,317227.82,25209.82,Yes
College,101933.77,No,398826.63,38467.00,Yes
College,188793.96,No,454855.91,46672.47,Yes
Primary,80751.82,Yes,257036.73,34287.79,Yes
Primary,110038.13,No,43041.28,36956.04,Yes
Primary,114216.18,Yes,210208.38,2221.42,Yes
Primary,71826.77,No,469416.16,46853.21,No
Primary,45266.38,Yes,192891.25,45802.69,Yes
Primary,179343.75,Yes,26902.90,24813.20,Yes
Primary,89473.47,Yes,161099.52,48698.06,Yes
College,106990.40,Yes,24269.47,19641.01,Yes
Vocational,100848.26,Yes,299740.05,22867.56,Yes
Vocational,90240.10,No,233625.03,36709.38,No
Primary,163294.36,Yes,159298.34,37683.17,Yes
College,169503.11,No,296111.26,28701.73,Yes
Primary,34398.42,Yes,126974.93,8646.30,Yes
College,52326.38,No,278445.62,37664.33,No
Primary,118922.65,No,88670.97,49126.77,Yes
Primary,90791.01,No,183001.49,47175.65,No
College,87233.40,Yes,200472.98,44865.22,Yes
Primary,93331.35,No,234244.46,31030.70,No
Primary,40548.65,Yes,499502.48,3811.15,Yes
Primary,99224.86,No,301911.18,23208.80,No
College,46868.47,Yes,460474.48,14345.17,No
College,108005.28,Yes,201789.35,42055.55,Yes
Vocational,189435.22,Yes,388530.69,9146.84,Yes
College,170485.40,No,222886.52,34419.04,Yes
College,103141.75,Yes,204965.80,28658.17,Yes
Vocational,61850.79,Yes,154274.85,49957.70,Yes
Vocational,91973.86,No,320823.45,22546.77,No
Vocational,152553.95,No,81450.60,11454.35,Yes
College,74435.48,No,61272.14,37187.98,No
Primary,141908.90,No,153157.31,20728.41,Yes
Vocational,84814.90,Yes,204922.03,1939.20,No
College,51795.30,Yes,45160.73,29755.68,No
College,181454.21,Yes,82753.87,11657.56,Yes
Primary,185233.06,Yes,257785.28,10137.25,Yes
Vocational,182491.06,Yes,184276.44,34601.57,Yes
Vocational,32696.82,Yes,151184.51,35562.41,Yes
College,173999.62,Yes,187931.51,1321.09,Yes
Vocational,68252.55,Yes,200742.92,38785.10,Yes
College,95297.54,No,347669.03,44568.05,No
Primary,91268.54,Yes,158032.67,3139.79,Yes
Vocational,49744.14,No,212510.68,31081.53,No
Vocational,177678.89,No,329671.00,25552.51,Yes
Vocational,101933.96,No,102932.20,6579.13,Yes
Primary,47577.26,No,198461.11,20032.31,No
Primary,124047.63,No,368114.57,9941.47,Yes
College,124563.37,Yes,411928.76,11453.41,Yes
Vocational,37391.07,No,190754.71,35241.13,No
College,125540.47,Yes,277105.06,36447.78,Yes
College,142268.49,Yes,475054.70,32016.81,Yes
Vocational,67344.32,Yes,482097.74,26340.78,No
College,144011.36,Yes,343745.89,33500.38,Yes
