"Home","Car","Debt","Income","Amount"
"Yes","Yes",0,183121,1831216.38862561
"No","No",1e+05,30003,1735.14038808067
"No","Yes",0,86882,173763.884614063
"No","Yes",1e+05,38917,77829.0668996341
"Yes","No",1e+05,80101,400481.627137949
"Yes","No",1e+05,28786,143933.911457963
"No","No",1e+05,40429,2016.93587292193
"No","No",1e+05,134040,3656.52276001028
"No","No",1e+05,192158,4380.13909140382
"Yes","Yes",0,140804,1408045.0340352
"Yes","Yes",1e+05,169050,1590505.18249112
"Yes","Yes",0,166844,1668423.17116061
"Yes","Yes",0,98640,986392.262365356
"Yes","No",1e+05,161968,809843.537610155
"Yes","Yes",1e+05,21659,116596.748598181
"No","No",1e+05,31574,1782.19602377277
"No","No",0,170084,4122.23189949486
"Yes","Yes",0,137342,1373427.71007026
"No","Yes",1e+05,178374,356738.093984741
"Yes","Yes",1e+05,197538,1875375.50163853
"Yes","No",0,132351,661752.663247066
"Yes","No",1e+05,95818,479083.367401581
"Yes","No",1e+05,21842,109214.876202314
"Yes","Yes",0,83222,832240.519027375
"No","Yes",0,185724,371448.638550365
"No","No",1e+05,89002,2979.29735277142
"Yes","No",1e+05,42460,212303.867849789
"Yes","No",1e+05,128901,644517.320691143
"No","Yes",1e+05,129446,258895.104281859
"Yes","No",1e+05,87145,435728.145515655
"Yes","Yes",0,102250,1022507.61997083
"Yes","No",1e+05,37267,186344.631781187
"Yes","Yes",1e+05,83544,735448.926315345
"No","No",0,153647,3932.51243083096
"No","Yes",0,98762,197515.720752417
"No","Yes",0,122919,245822.296069923
"No","No",0,33698,1835.98367294304
"No","No",0,175026,4194.73996336323
"Yes","Yes",1e+05,149052,1390525.34017481
"No","Yes",0,104480,208958.171083671
"No","No",0,20246,1412.228686808
"Yes","No",1e+05,105256,526286.06171288
"Yes","Yes",1e+05,65976,559760.438422938
"Yes","Yes",1e+05,63873,538732.726015188
"No","No",1e+05,26704,1645.19882837228
"No","No",0,62183,2488.39078593498
"No","Yes",1e+05,122429,244866.594289254
"No","No",1e+05,28705,1669.16074656154
"No","No",1e+05,153460,3909.71406166879
"Yes","Yes",1e+05,64489,544883.039746628
"No","No",1e+05,187382,4324.65008717479
"No","No",1e+05,73812,2718.72066462816
"Yes","No",0,119224,596132.738099183
"No","Yes",0,135925,271848.421921692
"No","Yes",1e+05,70108,140225.164250821
"Yes","No",1e+05,156223,781126.201025065
"No","No",1e+05,42232,2054.36769682246
"Yes","No",1e+05,155792,778945.008955342
"No","No",1e+05,22653,1496.19084472777
"Yes","No",1e+05,184199,920985.223738753
"Yes","No",0,107721,538621.908087951
"Yes","Yes",0,199847,1998466.52372017
"Yes","Yes",1e+05,160734,1507338.41761215
"No","No",0,128745,3576.81886585547
"Yes","No",0,163755,818785.466389373
"No","Yes",1e+05,47134,94267.127335178
"No","Yes",1e+05,163205,326422.850386583
"No","No",0,26683,1618.69798933868
"Yes","Yes",1e+05,154003,1440032.44848259
"Yes","No",0,117009,585061.815489282
"Yes","No",0,32404,162009.638303947
"Yes","Yes",0,162862,1628613.31557838
"No","Yes",1e+05,158625,317259.61672753
"No","No",0,56125,2358.0697786184
"No","Yes",1e+05,27300,54623.9792231695
"Yes","Yes",1e+05,90252,802509.05302224
"No","Yes",1e+05,192090,384186.142325972
"No","No",1e+05,120454,3473.42122838995
"Yes","Yes",1e+05,40704,307051.066087065
"No","No",1e+05,195219,4410.46379825641
"Yes","No",1e+05,26106,130529.823846218
"Yes","No",0,175756,878784.982491662
"Yes","Yes",0,47679,476797.280583354
"No","No",0,136855,3705.14151753987
"No","No",1e+05,22974,1530.8859523459
"Yes","Yes",0,104274,1042727.68576959
"Yes","Yes",1e+05,111966,1019673.89079828
"Yes","No",1e+05,171547,857745.877410218
"No","No",1e+05,57125,2392.4191200361
"Yes","No",1e+05,170877,854383.990361475
"No","No",1e+05,153436,3921.14457590926
"Yes","No",0,83109,415548.615069942
"Yes","No",1e+05,68249,341246.490734293
"No","Yes",1e+05,170966,341937.284032602
"Yes","No",1e+05,144613,723072.576555055
"No","Yes",0,123347,246694.821861987
"Yes","Yes",1e+05,63662,536635.147098854
"Yes","No",1e+05,105080,525398.848961504
"Yes","Yes",0,161059,1610580.06803226
"No","No",1e+05,104841,3238.19148406197
"No","No",0,187416,4322.12685338016
"No","Yes",1e+05,50719,101433.26449995
"Yes","Yes",0,113939,1139389.46604665
"Yes","No",0,107695,538486.339491825
"No","No",1e+05,42248,2051.78365900616
"Yes","Yes",1e+05,189898,1798961.68495183
"No","No",1e+05,115190,3387.59596054131
"No","Yes",0,51556,103114.937092421
"Yes","Yes",1e+05,178530,1685283.69746539
"No","Yes",0,48696,97387.5163824778
"No","No",1e+05,178628,4236.32163026635
"Yes","Yes",0,96962,969624.067088728
"Yes","No",0,134901,674514.863475644
"Yes","No",0,61235,306164.200688874
"Yes","Yes",1e+05,43396,333955.845602093
"No","No",1e+05,176962,4207.25903314851
"Yes","No",1e+05,177138,885684.934100602
"No","No",1e+05,50080,2242.44802292855
"Yes","No",1e+05,34254,171264.008216995
"No","No",0,165429,4066.23155954205
"Yes","Yes",1e+05,63335,533335.163555383
"Yes","No",0,91521,457606.675762693
"Yes","Yes",1e+05,151195,1411950.1351367
"Yes","No",1e+05,139166,695824.717032745
"Yes","No",0,156913,784567.355824214
"Yes","No",1e+05,126700,633508.130514247
"Yes","No",0,145626,728155.629980159
"No","Yes",0,177487,354977.443629291
"No","Yes",1e+05,129325,258639.917341841
"Yes","Yes",0,103795,1037952.01685737
"Yes","Yes",0,64319,643185.640214264
"Yes","No",1e+05,151771,758867.984883187
"No","No",0,165308,4059.76183670162
"No","Yes",0,159702,319433.217582518
"No","Yes",0,179235,358467.962227194
"Yes","Yes",0,195350,1953504.20689072
"Yes","No",0,58779,293902.036044234
"No","Yes",1e+05,141596,283198.25084712
"No","Yes",0,133902,267812.647202004
"Yes","No",1e+05,74751,373755.364785122
"Yes","No",1e+05,161303,806519.976181591
"No","No",0,56902,2385.81015848047
"Yes","No",0,83561,417816.166802897
"Yes","Yes",0,199532,1995319.57459333
"Yes","Yes",0,33168,331685.609314689
"Yes","Yes",0,128260,1282601.83480397
"No","No",1e+05,45658,2140.07618644529
"No","No",0,70079,2643.19815712249
"Yes","No",0,196854,984278.786121927
"No","No",0,55747,2357.93881128453
"No","Yes",1e+05,187490,374983.774612785
"Yes","Yes",0,34658,346575.738243821
"Yes","Yes",0,41160,411601.876726944
"No","Yes",1e+05,46292,92592.0143613004
"Yes","Yes",1e+05,60517,505173.61271348
"Yes","Yes",1e+05,76388,663888.755493031
"No","No",0,26007,1599.7141514601
"Yes","Yes",0,52529,525292.887021636
"Yes","Yes",1e+05,67169,571695.915749023
"Yes","Yes",1e+05,185758,1757570.86237512
"Yes","No",0,171973,859873.928316924
"No","Yes",0,118758,237514.154394443
"No","No",1e+05,20163,1426.35498281137
"Yes","Yes",1e+05,173237,1632374.15951351
"No","Yes",0,114562,229124.605105799
"No","Yes",1e+05,91802,183614.80131168
"Yes","No",0,90511,452550.287162365
"No","No",1e+05,143705,3784.77370168873
"Yes","Yes",0,69828,698262.998008181
"Yes","Yes",1e+05,84716,747162.203754929
"No","No",0,101270,3179.6490695251
"No","No",0,128683,3615.14021872893
"Yes","No",1e+05,123837,619175.577335976
"No","No",0,44791,2113.29041083441
"Yes","No",0,136407,682041.769982707
"Yes","No",1e+05,174604,873006.3197615
"No","No",1e+05,147992,3843.83401166676
"Yes","No",1e+05,38254,191248.979545596
"Yes","Yes",1e+05,187421,1774196.07606648
"Yes","Yes",1e+05,173349,1633490.52596074
"Yes","Yes",0,39482,394818.919181334
"No","Yes",0,55250,110482.5995817
"Yes","Yes",0,58039,580387.412209587
"No","Yes",0,37694,75382.5177531428
"Yes","No",0,83072,415340.978835781
"No","Yes",0,27207,54445.0530380298
"No","Yes",0,56949,113899.620353279
"Yes","No",1e+05,62613,313075.308426598
"Yes","No",0,65814,329067.485763723
"Yes","Yes",0,142159,1421589.34679943
"Yes","Yes",1e+05,39133,291333.097163591
"Yes","Yes",1e+05,188681,1786814.98758195
"Yes","Yes",1e+05,149722,1397210.28824973
"No","No",0,148894,3866.21791270677
"No","Yes",1e+05,154973,309956.049595293
"Yes","No",0,108724,543619.751960986
"No","No",0,66347,2583.80948907351
"Yes","No",0,160082,800404.031776861
"Yes","No",1e+05,50069,250339.942942005
"No","No",1e+05,34634,1847.5222525378
"No","Yes",1e+05,109331,218676.575146598
"No","Yes",0,93317,186630.129885436
"No","Yes",0,150671,301363.390523212
"Yes","Yes",0,137086,1370836.72634191
"Yes","No",0,178596,892992.184535265
"No","No",0,48004,2197.0241295448
"Yes","Yes",1e+05,70725,607269.32380591
"No","No",0,149740,3858.32414312642
"No","No",0,72351,2702.48619685465
"No","No",0,29317,1696.68110613261
"Yes","Yes",1e+05,82837,728366.211929644
"Yes","Yes",1e+05,172919,1629199.57606123
"No","Yes",1e+05,147536,295073.342565872
"No","No",0,127404,3571.89335123178
"No","No",0,165832,4087.5804583281
"Yes","Yes",0,142846,1428458.22018784
