"Home","Car","Debt","Income","Amount"
"No","Yes",1e+05,56469,112940.97907189
"Yes","No",1e+05,137111,685556.008384566
"No","Yes",0,149104,298220.86697484
"Yes","No",1e+05,197421,987123.033964565
"Yes","No",1e+05,119706,598526.021997719
"No","Yes",1e+05,27102,54188.2085961251
"No","No",0,165339,4084.10883527145
"No","Yes",1e+05,125045,250103.11875938
"Yes","Yes",1e+05,83135,731342.979045438
"No","Yes",1e+05,84318,168629.681297821
"No","Yes",0,124905,249801.784873244
"No","Yes",0,172331,344665.069528922
"No","Yes",1e+05,145808,291616.888821273
"No","Yes",1e+05,192756,385497.242121459
"Yes","Yes",1e+05,23062,130628.519641909
"Yes","Yes",0,73002,730029.634232169
"Yes","Yes",0,164805,1648067.00177978
"No","Yes",1e+05,95844,191686.523812829
"No","No",0,199467,4449.96716515669
"Yes","No",1e+05,114012,570056.959325561
"No","No",1e+05,70945,2660.18811255445
"No","No",1e+05,149946,3868.53190737391
"Yes","Yes",1e+05,173483,1634822.97675984
"No","Yes",1e+05,99920,199833.915374259
"Yes","No",0,82900,414496.93093163
"Yes","Yes",0,194243,1942421.04401781
"No","Yes",0,52385,104782.744078686
"Yes","No",0,172116,860591.353276785
"Yes","No",0,126111,630530.27988333
"No","No",0,84762,2900.73119158337
"Yes","Yes",1e+05,43425,334230.158891517
"Yes","Yes",0,97009,970099.288345036
"No","Yes",0,170714,341424.177359669
"No","No",0,141269,3747.70508788838
"No","No",1e+05,85676,2921.3397750824
"No","No",0,94357,3074.49355283818
"No","No",0,53279,2312.72756899872
"Yes","No",1e+05,131954,659759.691379366
"No","Yes",1e+05,32855,65703.3197664194
"No","No",1e+05,74427,2711.32452998027
"Yes","Yes",1e+05,164278,1542771.49065914
"No","No",0,173816,4186.54915849504
"Yes","Yes",1e+05,170072,1600710.99478759
"No","Yes",0,81159,162329.344007272
"No","Yes",1e+05,85278,170555.465672116
"Yes","Yes",0,101950,1019505.24349751
"No","No",1e+05,105217,3254.72477917836
"No","Yes",0,73988,147978.676226133
"Yes","Yes",0,178974,1789737.67984863
"Yes","Yes",1e+05,38104,281051.258790559
"Yes","No",1e+05,101060,505285.33162292
"Yes","No",0,198620,993098.39394425
"Yes","Yes",1e+05,155032,1450313.42032646
"Yes","No",0,106424,532130.192298282
"Yes","No",1e+05,36007,180012.563874584
"Yes","Yes",0,34432,344332.705617027
"Yes","No",1e+05,84307,421531.341701913
"No","Yes",1e+05,104123,208258.477762917
"Yes","Yes",0,87556,875583.642803726
"No","Yes",1e+05,34017,68019.2791227083
"Yes","No",1e+05,185264,926315.587669295
"No","Yes",1e+05,46914,93823.4925396249
"Yes","No",1e+05,37686,188420.368515272
"No","Yes",1e+05,80173,160352.571333096
"Yes","Yes",0,87495,874961.92892721
"Yes","Yes",1e+05,47360,373618.873656264
"Yes","No",0,170694,853466.456698848
"Yes","No",0,49727,248628.045431113
"No","No",0,20099,1415.70413592306
"Yes","Yes",0,172408,1724090.28868062
"No","No",1e+05,145611,3821.46376757276
"Yes","No",0,45207,226039.541162978
"No","Yes",0,190675,381353.192760654
"Yes","Yes",1e+05,166534,1565332.54152573
"Yes","No",1e+05,109961,549816.11686786
"No","No",0,37925,1963.406778747
"Yes","Yes",0,61354,613547.84649938
"No","Yes",1e+05,185205,370404.10539486
"No","Yes",0,48314,96633.3871587866
"No","No",0,86974,2954.29063003566
"Yes","Yes",1e+05,152727,1427290.73971199
"No","Yes",0,126312,252632.075599634
"No","No",0,159463,4004.27060402302
"No","Yes",1e+05,60585,121168.864322309
"Yes","No",0,123754,618765.072065601
"No","No",0,117850,3423.34785853775
"No","Yes",1e+05,37127,74250.5337319247
"No","No",0,129497,3606.59132448064
"No","No",0,193875,4396.14511314024
"No","No",1e+05,137795,3711.5185207432
"No","No",1e+05,140349,3742.62300977737
"No","No",0,145440,3801.45501590616
"No","No",0,20945,1435.14935943198
"No","No",1e+05,111493,3329.88688174082
"No","Yes",1e+05,30813,61630.2845755348
"No","No",0,58916,2436.5499973578
"Yes","Yes",0,161340,1613393.37633046
"Yes","Yes",0,74923,749212.991672313
"No","Yes",0,114601,229195.534101173
"Yes","No",1e+05,92543,462699.917120415
"Yes","No",1e+05,121224,606141.072370723
"No","Yes",1e+05,113548,227088.880992045
"No","No",1e+05,98571,3140.06537144019
"No","Yes",1e+05,32281,64555.1470143612
"Yes","No",0,141056,705281.702574622
"Yes","Yes",1e+05,35476,254765.172250634
"Yes","Yes",0,116177,1161784.11287744
"Yes","No",0,86456,432291.101298495
"No","Yes",1e+05,57653,115290.265290611
"No","No",1e+05,63569,2522.75044010872
"No","Yes",0,116444,232879.633127394
"No","No",1e+05,107626,3293.29432654633
"Yes","Yes",0,101414,1014129.93380131
"No","No",1e+05,55936,2349.9364397792
"No","No",1e+05,139053,3721.46406262378
"Yes","Yes",0,196540,1965406.75703105
"Yes","Yes",0,46536,465365.304076983
"Yes","No",0,82506,412523.607304706
"Yes","No",0,186679,933390.23030972
"No","Yes",1e+05,22893,45782.7359573622
"Yes","Yes",1e+05,20878,108767.33926159
"Yes","No",0,176984,884920.037706908
"Yes","No",0,52687,263423.85059858
"Yes","Yes",1e+05,180841,1708413.49232536
"No","No",0,41563,2040.03198203736
"Yes","No",1e+05,152931,764663.567200639
"No","No",1e+05,152687,3906.35376311777
"No","Yes",0,59338,118678.402821682
"Yes","No",1e+05,185180,925900.197593905
"No","Yes",0,63306,126615.689606227
"No","Yes",1e+05,148614,297235.117469429
"No","No",1e+05,33825,1839.04177189776
"No","Yes",1e+05,117591,235176.933034313
"No","Yes",0,84231,168458.807172077
"Yes","Yes",0,26555,265553.244017568
"Yes","Yes",0,115220,1152200.77318647
"Yes","No",1e+05,102092,510471.131820311
"Yes","Yes",0,141277,1412756.86554933
"Yes","No",0,75128,375649.929846977
"Yes","No",1e+05,165758,828790.847303833
"Yes","No",0,109577,547898.604037077
"Yes","Yes",0,59880,598788.094872207
"Yes","Yes",0,128803,1288045.84053084
"Yes","No",1e+05,56651,283252.788989962
"Yes","Yes",0,23195,231947.778973596
"Yes","Yes",0,52286,522870.223623349
"Yes","Yes",1e+05,150939,1409408.90302524
"Yes","Yes",0,57740,577389.629269739
"No","No",0,147650,3843.42398309032
"No","No",1e+05,139097,3724.88008924027
"Yes","No",0,73870,369365.941981663
"No","No",1e+05,75680,2758.81571519875
"Yes","No",1e+05,44331,221661.216942073
"No","No",1e+05,54500,2329.50866877689
"No","No",1e+05,85262,2920.96915050901
"No","No",1e+05,164211,4034.93520451011
"Yes","No",1e+05,51474,257369.502167019
"No","No",0,142130,3777.22403212905
"Yes","Yes",1e+05,48551,385496.021108321
"No","Yes",0,136627,273232.3685038
"No","No",1e+05,183245,4259.92474433322
"Yes","Yes",1e+05,95187,851891.328490862
"No","No",1e+05,100143,3166.54858332817
"No","No",0,157351,3980.83313167334
"No","No",1e+05,155335,3938.16413129535
"No","No",1e+05,95133,3099.68718432339
"Yes","Yes",1e+05,83405,734027.478462252
"No","Yes",0,168832,337665.450160929
"No","No",0,180388,4248.08895325431
"Yes","No",0,72071,360353.682696392
"No","Yes",1e+05,120186,240357.64074959
"Yes","Yes",1e+05,104634,946348.849520164
"No","No",1e+05,190318,4368.92124254917
"Yes","No",0,35118,175572.93363797
"Yes","Yes",0,98892,988932.345968958
"No","Yes",0,28921,57835.7967226555
"Yes","No",1e+05,47281,236407.108020578
"Yes","Yes",1e+05,109514,995133.876726521
"No","No",0,58312,2422.59728143327
"No","Yes",0,87809,175608.858142177
"No","Yes",1e+05,162719,325444.548853838
"No","Yes",0,24622,49255.7232454415
"Yes","No",0,94224,471106.076985318
"Yes","Yes",0,107066,1070655.64131458
"No","Yes",1e+05,111609,223203.307173964
"No","No",1e+05,44404,2097.63276740036
"Yes","Yes",1e+05,64872,548722.314070557
"Yes","Yes",0,176762,1767625.20049158
"Yes","Yes",1e+05,76141,661408.135222505
"No","No",1e+05,178006,4224.01915960187
"Yes","No",1e+05,150161,750810.574952394
"Yes","Yes",1e+05,88729,787271.144924605
