GroomMB,BrideMB,GroomInc,BrideInc,Outcome
ENTP,ESFP,73209.54,94100.61,Success
INFJ,ISTP,34849.4,51197.57,Success
ISFP,ENFJ,50103.05,82647.96,Failure
ENFP,ESFP,96608.95,39498.94,Success
ENTJ,ESTJ,50880.39,94755.16,Failure
ENFJ,ESFJ,80750.69,91768.2,Failure
INFP,ISFP,34821.34,87360.62,Success
ENTP,ISFP,85217.56,35722.07,Success
ISFP,ESFJ,53713.52,82927.98,Failure
INTJ,ENTP,46434.74,40419.61,Failure
ISTJ,ENFJ,68644.13,67240.47,Failure
ESFP,ENTP,41142.7,79196.99,Success
ESFP,INFJ,54404.46,77841.59,Success
ENTP,ENTP,90106.7,95790.83,Failure
ESFJ,INFJ,61505.62,78292.13,Failure
ENTP,ESTJ,70744.76,67342.08,Failure
ESFP,ESTJ,30584.13,94692.99,Failure
ENFJ,INTJ,72946.75,61980.49,Failure
ESFP,ESFJ,59167.64,60934.95,Failure
ISTP,INTP,96041.81,99406.03,Success
ESTP,INTP,99776.48,74603.34,Failure
ESFP,ESFP,36740.77,77180.83,Success
INFP,ISTJ,46486.2,63668.26,Failure
ESFP,INFP,36901.6,94818.84,Failure
INTJ,ISTP,50593,36088.59,Success
INFP,INFP,95730.04,33545.26,Success
INTP,ENTJ,95670.93,67093.79,Success
ENFP,ESTJ,65767.92,53599.99,Success
ENFJ,ENTJ,99443.71,71320.11,Success
ENTP,INFJ,78434.96,69076.15,Failure
ESTJ,ENFJ,44221.66,94327.38,Success
INTP,ESTP,34785.04,39300.77,Failure
ESFP,ESTJ,61589.03,32449.32,Failure
ENFJ,ENFP,58669.15,32089.2,Failure
INFJ,ISTP,83536.85,58545.88,Success
ESFP,ISTP,34663.69,32523.72,Failure
ENTP,ISTJ,45149.39,69365.63,Failure
ISFP,INFJ,46525.49,93179,Success
INTJ,ENFJ,78458.84,58096.85,Success
INTP,ENTJ,89268.17,42468.45,Success
ENFJ,ISTP,85203.78,74329.89,Failure
INTP,ENTJ,58138.56,58909.36,Failure
ENFP,INTJ,62594.5,68426.46,Success
ENTJ,INFJ,41818.17,32711.53,Success
ENTP,ESTP,33337.96,55561.82,Failure
ENTJ,ESFP,68130.87,69290.06,Success
ENTP,ISFJ,30875.89,52338.39,Success
INFP,ISTP,87469.89,85686.44,Failure
ENTJ,INFJ,68101.54,38801.29,Success
INTJ,INFJ,39592.39,57913,Success
ENFP,ENFP,47403.1,55188.93,Success
ISFP,ESFP,48178.09,73963.8,Failure
ESFJ,ESFP,69299.49,52395.89,Success
ISFJ,ENTJ,53104.87,51094.12,Failure
ESFJ,ISFP,87401.71,64654.64,Failure
ISFP,ESTJ,59861.15,48047.62,Success
ENTJ,ENFP,48712.04,90315.59,Failure
INTP,ESFP,95828.83,47942.78,Success
ESTP,INFP,70809.54,96306.4,Success
INTJ,ENFJ,51708.28,98265.54,Failure
ISFJ,ISTP,85938.88,60615.53,Success
ISFJ,ENTP,75538.25,51897.11,Failure
INFP,INTP,30350,88618.1,Success
ISTJ,ENTP,75708.17,67082.16,Success
ENTJ,ENFP,34422.61,85184.49,Failure
ESTP,ESFP,77865.9,37471.67,Failure
ENFP,ESFP,73275.88,88594.96,Failure
ESFJ,INTP,92512.95,54774.63,Failure
ENFP,ENFP,43233.86,80916.2,Success
ENTP,ISTJ,66180.38,78962.97,Success
ENTP,ENFJ,72396.42,72637.27,Failure
ISFJ,INTJ,57761.51,56865.76,Failure
INFJ,ENTP,57950.41,82109.38,Failure
ISFJ,ESTJ,99628.98,35584.76,Success
