GrromMB,BrideMB,GroomInc,BrideInc,Outcome
ENTP,ISFJ,52277.49,47503.89,Failure
ISTJ,ISTP,75815.29,67270.19,Failure
ISTJ,ESTJ,59935.26,32398.64,Failure
ESFJ,ENFJ,68017.74,67143.55,Failure
ISFP,ISTJ,98430.19,56953.77,Success
ISFJ,ESFP,38549.48,59778.13,Failure
INFP,INFJ,64219.21,58634.03,Success
INFP,ISTP,88300.92,35488.23,Success
ESFP,ESTP,31451.46,92079.94,Success
ESFP,ISTP,32974.92,39773.36,Failure
INFJ,ESFP,77556.25,56435,Success
INFJ,INTJ,54285.82,95155.63,Failure
ESFP,ISTJ,80734.69,90151.36,Failure
INFJ,ENTP,53306.61,57338.98,Success
ISFJ,INTJ,53942.45,35043.64,Success
ISFJ,ENTP,49762.39,61309.99,Failure
INTJ,INFP,46531.91,94992.84,Success
ESTP,ESTJ,35889.77,76541.63,Failure
ENTJ,INFP,46765.75,48744.25,Failure
ESFP,ESTP,89486.6,73420.58,Success
ESFP,ENTJ,68797.72,73157.76,Success
ESFP,ESFP,69052.61,76958.76,Success
ISTJ,ESTP,93180.87,71614.52,Failure
INTJ,INTP,71558.12,50061.2,Failure
INTJ,ESFP,41633.34,63983.48,Success
INTP,ESFJ,57129.68,34487.71,Success
ISTP,ISFJ,85747.27,38027.15,Failure
INFP,ENTP,62686.31,50087.14,Failure
ENFJ,ENTP,58604.75,77959.33,Success
INTJ,INFJ,67989.74,31955.51,Failure
ESFP,INFP,61022.09,97836.52,Success
ENFJ,ISTP,35405.55,38280.91,Failure
ENFJ,ESFJ,55419.63,35722.42,Failure
ISTP,ENFP,37344.2,37380.94,Success
ISFJ,ISTP,49923.33,91747.51,Success
ISTP,INFP,40794.25,43560.14,Failure
ISFJ,INFJ,50245.35,45541.47,Success
ESTP,ESTJ,76734.33,62319.57,Failure
ESTP,ESFP,42346.26,89910.26,Success
ENFJ,ENTJ,91400.31,43449.68,Success
ENFJ,INTJ,87583.71,82544.05,Failure
ESFP,INFP,51030.81,58724.32,Success
ENTJ,ISTP,59774.23,81001.4,Success
ESFP,INFP,92982.84,86800.15,Success
ESTJ,ISFJ,35450.16,93694.41,Failure
INFJ,ISTJ,73690.79,47961.88,Success
INFP,INFJ,30212.66,97917.44,Failure
INFP,ENFJ,59773.28,52657.35,Failure
INFJ,ESFJ,77960.21,40536.4,Success
ISTJ,ISFP,74286.62,88388.32,Failure
ESTJ,ENFJ,45740.43,91713.33,Failure
INFJ,ESTP,67748.99,84889.26,Success
ESFP,ESFP,43012.57,80853.41,Success
ISTP,ENTP,43795.27,64107.52,Failure
ENFJ,ENTP,47468.86,99633.27,Success
ESFJ,INTJ,41696.5,72758.84,Success
ESFJ,INFJ,92741.49,41442.66,Success
ISTJ,ENFP,33749.59,57070.36,Success
INFP,ISTP,80183.66,79998.23,Failure
ISFP,ENTP,68901.18,93608.59,Failure
ENFJ,ESFJ,55145.86,89344.7,Success
ISTP,ISTJ,93930.62,45909.97,Failure
ENTJ,INFJ,84853.45,95753.01,Failure
INFJ,INTP,31371.54,46906.21,Failure
INTJ,INFP,97281.59,97921.88,Success
ISFP,INFJ,99764.74,99740.29,Failure
ESFP,ENTJ,31245.36,42492.57,Failure
ISTJ,ESFP,86859.52,87189.17,Success
ENFP,ENTJ,31155.43,89548.07,Success
INFP,ENFP,63409.13,95396.24,Failure
INTJ,ESFJ,72675.55,55458.8,Failure
ENTJ,ISFJ,82091.53,70919.25,Failure
INTP,INFJ,52143.43,85469.05,Failure
INFJ,INFJ,32192.39,43457.86,Failure
ENFJ,ENTJ,99108.77,83058.69,Success
ESFJ,INTJ,44574.07,53271.75,Failure
ENFJ,ENTP,92305.09,45981.41,Failure
ISTP,INTP,95850.6,76822.05,Failure
ENTJ,ENFJ,54566.36,88272.18,Success
ESFJ,ESFP,78159.13,60328.11,Failure
ISFJ,ESTJ,77412.62,53053.23,Success
ESFJ,ESFP,92221.66,49529.04,Failure
ESFJ,ESFJ,67473.39,37250.18,Success
ISFJ,INTP,34514.96,82749.13,Failure
ENTP,ENFP,53256.08,80536.51,Failure
INFJ,INFJ,73381.95,64345.53,Success
ESFJ,ISFP,79698.74,66585,Failure
ENTP,ENFJ,97560.05,55996.38,Failure
ENTP,ENFJ,71212.95,67800.33,Success
ENFP,ISFP,43296.2,78217.86,Failure
ISTJ,ISFP,91265.65,43488.98,Success
ESTJ,ISTP,58424.68,43514.61,Success
ENTP,ESTJ,41666.27,90293.34,Failure
ISFP,ESTP,84457.31,98498.04,Success
ESTP,ISFJ,92420.06,93780.54,Failure
INFP,INTP,78950.07,39728.84,Failure
ENFP,ESFJ,42012.98,78899.33,Failure
INFJ,ISTJ,39266.95,72408.32,Success
ENFP,ENFP,90337.34,90383.45,Failure
ESFP,ISFP,37305.44,48157.75,Failure
INTP,ISTJ,62822.1,58628.03,Success
ESFP,ENFJ,81891.62,43423.82,Success
ENFJ,ISFJ,62186.88,51667.64,Failure
ISTJ,ESTJ,68123.38,64048.94,Success
ESTJ,ENFJ,92993.53,89953.38,Failure
ESTJ,INFJ,83877.34,62091,Failure
ESTP,INTJ,48396.54,94975.46,Failure
ENFP,ENFP,49559.89,70068.98,Success
ISFJ,INTJ,69099.59,52130.75,Success
ISTP,ISFJ,59860.52,92607.72,Failure
ESTP,ESFP,96449.78,52980.56,Success
INFJ,ENFJ,92149.19,71690.95,Failure
ENFJ,INFJ,94367.52,65627.03,Failure
ISTP,INFJ,39464.11,34287.32,Failure
ESFJ,INFJ,57833.27,31366.92,Failure
INTJ,ESFJ,45464.45,94518.98,Success
INFJ,ESTJ,73920.28,61816.04,Failure
INFJ,ENTP,49435.87,40905.6,Success
ENTJ,ESFP,33042.85,99422.68,Success
ISFP,ENTP,72552.14,60002.67,Failure
ISTJ,INTJ,96110.17,30804,Success
ESTJ,ENFJ,72451.54,91147.54,Failure
ESTP,ISFJ,54466.43,51956.74,Failure
INFJ,ISTJ,57724.02,66855.87,Failure
ENFP,ENTP,67413.94,67164.02,Failure
ENFJ,ESFP,66664.46,74895.85,Success
ENFJ,ESFJ,79483.55,82984.75,Failure
ESFP,INTJ,88348.98,91415.5,Failure
ENTJ,ESFP,50598.39,51915.49,Failure
ENFJ,ESTJ,47882.85,60687.55,Failure
INTP,INTJ,73577.05,46026.92,Failure
ISFP,ESTP,59168.32,88906.42,Failure
ENFJ,ENFJ,33121.65,30717.36,Success
INTJ,ENFP,54060.4,32596.2,Failure
ISTJ,ENFJ,48412.45,33086.37,Success
ENTP,INFP,46308.25,54701.24,Failure
ESFJ,ISTJ,91238.6,80237.45,Failure
ISFJ,INTJ,96835.79,88362.72,Success
ESFJ,ISTP,92947.04,67240.96,Failure
ENFP,ISFJ,40909.41,90084.02,Success
INTP,ISFP,91342.79,82540.41,Success
ENFP,ESFP,66161.5,42746.82,Success
ENTJ,ENTJ,94092.71,48463.06,Failure
INTJ,ENFP,78640.99,99324.4,Failure
ENTJ,ISTP,63039.81,67586.42,Success
ISFP,ENFJ,74946.87,50597.91,Failure
ESFP,INTP,85468.44,54932.25,Success
ESTP,INFJ,85305.77,58631.36,Failure
ENTJ,ISFJ,61504.49,35865.52,Success
ENFJ,ESFJ,95468.89,64495.62,Success
ISTJ,ESFJ,99240.19,81237.91,Success
ISTJ,INFJ,90789.85,49820.4,Failure
ENFJ,ESFJ,67557.61,92341.12,Success
ENTJ,ISFP,89442.37,76630.52,Success
ISFJ,ISTJ,39713.72,34988.34,Success
ISTJ,INTJ,91206.51,48987.5,Success
INFP,INFJ,86763.51,85407.63,Failure
ESFJ,INTP,83957.48,83268.44,Failure
ISTJ,INTJ,81814.86,88487.23,Success
ESFP,INFP,62799.05,64192.53,Failure
ESFJ,INFJ,63941.84,67006.79,Success
ESTP,INFJ,51787.33,39391.63,Failure
ISFP,INTP,46598.96,66142.45,Failure
ISTJ,ESFP,80281.79,74860.85,Success
INFJ,ENTP,93665.91,91373.49,Success
ESFJ,ISTJ,66242.24,76956.7,Success
INTP,ESFP,90652.19,70432.18,Failure
ISTJ,ISFJ,96442.72,85849.56,Failure
ISTJ,INFJ,81874.03,65330.85,Failure
INFJ,ESFJ,61421.28,70842.1,Success
ENTJ,ISTJ,45084.15,77461.88,Success
INTJ,INTP,93168.33,78369.9,Success
INTP,ESFP,90164.72,50831.13,Failure
INTJ,ESTP,49814.27,32004.62,Success
INFJ,ESFJ,36047.18,68320.9,Failure
ENTP,ESFJ,92944.66,57194.05,Success
ESTJ,ISTP,32976.74,32802.24,Success
ISTJ,ENFP,70683.59,80815.01,Success
ENTP,ISTP,98492.41,47638.64,Failure
INTJ,ENTP,43089.83,95037.65,Success
INTJ,ESTP,77235.25,46372.85,Failure
INTP,INFJ,81337.94,52299.06,Failure
ISTP,ENTJ,88400.95,86973.13,Success
INFJ,INFP,30753.21,32358.45,Success
INFP,ESFJ,93907.37,62458.9,Success
INTJ,ISTP,75668.73,73743.99,Failure
ISFP,INFP,41701.87,65703.95,Failure
ISTP,INTJ,65272.77,74775.47,Success
ISFP,INFJ,40704.95,92078.29,Success
ISFP,ESFJ,53410.06,82244.46,Failure
ISTP,ISFJ,39458.76,48349.78,Failure
ENTJ,ENFP,42346.48,92643.01,Success
INFJ,ISTJ,66492.03,96477.63,Success
ISFJ,ISTJ,99701.82,58023.03,Failure
ISFJ,INTJ,94551.45,55775.38,Success
ISFJ,ISFJ,58975.15,66651.41,Failure
ISFJ,ENFJ,44126.51,31364.12,Failure
INTP,ISTJ,83068.56,46467.22,Failure
ESFJ,ENFP,92227.76,95503.78,Success
