Education,Income,Own_Home,Debt,CarValue,Loan
"Vocational","55222.68","Yes","161154.90","16943.98","No"
"Vocational","97315.08","No","448311.84","15394.93","No"
"Primary","175930.55","No","83980.25","38091.57","Yes"
"College","56235.91","Yes","149314.14","10250.17","Yes"
"Vocational","141477.38","Yes","333201.74","3069.86","Yes"
"Primary","45865.40","Yes","164916.61","26387.83","Yes"
"Primary","170355.16","No","162021.51","32583.21","Yes"
"Vocational","139513.06","Yes","201537.50","25464.54","Yes"
"Primary","37962.94","Yes","331700.87","35839.00","No"
"College","84121.06","No","184481.71","37399.27","No"
"Vocational","111352.84","No","176537.60","26587.05","No"
"Primary","147388.55","No","263977.66","291.67","No"
"Vocational","116829.31","Yes","396435.02","47928.20","No"
"Primary","110833.52","No","63033.71","9760.33","No"
"College","191184.14","No","92527.72","34794.67","Yes"
"Primary","83440.98","Yes","382450.83","18969.43","Yes"
"Primary","165378.12","Yes","121127.80","6179.27","Yes"
"Vocational","44882.47","No","379608.55","33883.46","Yes"
"College","198235.93","No","419086.59","12849.08","Yes"
"Vocational","157179.16","No","241840.39","48937.56","Yes"
"Vocational","153935.72","No","471403.02","23939.61","No"
"College","57729.72","Yes","385382.30","17774.78","No"
"College","168446.38","Yes","229481.53","10436.61","Yes"
"Vocational","89688.01","Yes","119603.39","28114.90","No"
"Vocational","114811.77","Yes","239804.21","24637.35","No"
"College","148628.09","No","445509.98","36483.21","No"
"Vocational","140643.69","Yes","167733.50","44363.26","No"
"Primary","131398.00","Yes","424184.72","16894.06","Yes"
"Vocational","156413.82","Yes","339229.63","29591.13","Yes"
"College","125125.09","Yes","180351.46","23129.32","No"
"Primary","183023.87","No","120737.41","48112.22","Yes"
"Primary","136996.19","No","374172.77","29893.57","Yes"
"Primary","73151.47","No","442112.62","20131.12","Yes"
"Primary","58216.66","No","138074.94","48279.87","No"
"Vocational","170662.39","No","273844.20","29185.03","Yes"
"Primary","40837.56","Yes","18020.25","24722.26","Yes"
"Vocational","102471.74","Yes","466058.51","17468.78","No"
"Primary","180435.05","No","391327.26","18973.63","Yes"
"Vocational","32404.74","No","27821.86","29499.54","No"
"College","68861.73","No","265178.67","44779.04","No"
"College","172438.95","No","409767.77","31188.41","No"
"Primary","132451.50","No","132818.26","30908.67","No"
"College","172997.15","Yes","310552.54","41101.94","Yes"
"College","166041.94","Yes","172124.29","1858.62","No"
"Vocational","101900.51","No","79713.00","9262.31","No"
"Vocational","148795.56","No","212683.73","33320.30","No"
"Primary","133090.22","Yes","177271.03","15202.39","No"
"College","84873.68","No","309188.35","20069.70","Yes"
"College","198498.96","No","464764.26","43733.26","No"
"Primary","47069.98","Yes","475521.83","21912.22","No"
"College","149732.02","No","358421.30","32894.14","No"
"Primary","35692.44","Yes","165664.60","27190.94","Yes"
"Primary","58162.37","Yes","93138.01","15469.00","No"
"Primary","40831.28","No","71356.25","32219.63","No"
"Vocational","157178.19","Yes","323741.00","20816.60","No"
"College","90322.06","No","223031.30","14802.08","Yes"
"Vocational","50846.28","No","246428.09","9141.20","Yes"
"Vocational","121579.17","Yes","324038.85","44328.28","Yes"
"Vocational","68016.83","No","77039.19","5021.94","No"
"College","94585.03","Yes","40346.79","33543.03","No"
"Vocational","33058.51","Yes","262180.51","43092.04","No"
"Primary","51943.97","No","388661.30","8854.19","Yes"
"Primary","116786.49","Yes","496216.76","20162.51","Yes"
"Vocational","150671.24","Yes","401397.69","33661.15","No"
"Primary","184107.58","No","350580.35","30853.92","No"
"Primary","181548.88","Yes","474055.26","21415.75","Yes"
"College","166728.45","Yes","483431.26","8791.87","Yes"
"Vocational","137420.02","Yes","4762.25","43642.09","No"
"Primary","104671.20","Yes","144492.32","35655.07","No"
"Primary","75582.51","Yes","450297.09","41240.43","Yes"
"Vocational","177061.50","Yes","77089.93","1307.14","No"
"Primary","42084.99","Yes","102858.41","33664.53","Yes"
"College","42452.63","Yes","73162.90","2954.46","Yes"
"College","139208.42","No","90380.71","13874.53","No"
"College","120346.44","No","89954.99","41063.48","Yes"
"Vocational","181236.18","No","240041.11","16569.29","Yes"
"College","177711.97","No","175110.02","40668.30","Yes"
"Vocational","167186.09","Yes","142634.93","31539.12","No"
"Vocational","181340.61","No","327900.59","15361.83","Yes"
"Vocational","108153.86","No","270308.01","47281.48","No"
"College","138054.93","No","81766.42","44709.01","No"
"College","66521.58","No","24277.10","28398.96","Yes"
"Primary","167104.56","No","411213.11","13051.24","Yes"
"Primary","108696.09","No","250878.56","111.46","Yes"
"Vocational","199673.91","Yes","3582.96","27969.57","Yes"
"College","107912.32","Yes","245618.69","44728.75","Yes"
"College","92190.94","No","464852.45","40734.40","No"
"College","34019.52","Yes","499651.52","3243.79","Yes"
"Primary","74999.95","No","195946.94","32767.56","Yes"
"Vocational","149991.41","Yes","422462.14","39798.25","Yes"
"College","54609.34","No","11777.55","4786.12","No"
"College","168328.40","Yes","317097.60","49288.53","Yes"
"College","57096.09","Yes","138638.00","31168.56","Yes"
"Vocational","137785.12","Yes","11551.10","7644.35","No"
"Primary","82647.58","Yes","219598.27","12146.30","No"
"Primary","158363.67","Yes","53896.50","16419.99","Yes"
"Vocational","190377.25","No","229090.38","11292.84","No"
"Vocational","101662.29","Yes","486137.65","1429.83","Yes"
"College","138272.23","Yes","56324.91","3604.86","Yes"
"Vocational","173622.42","No","84275.24","33784.15","Yes"
"College","199722.43","Yes","257549.40","36991.15","No"
"Vocational","173906.87","No","157441.61","35616.69","Yes"
"Primary","57025.27","Yes","353422.79","44223.92","No"
"Primary","75910.63","No","262959.40","41289.84","No"
"Primary","124108.65","Yes","115024.35","41204.53","Yes"
"Vocational","132813.20","No","286218.70","27250.90","Yes"
"Primary","44157.09","No","379748.96","33287.36","No"
"Primary","46321.32","No","407637.64","16627.81","No"
