"DJ","Music","Day","Attendance","Rating"
"Ania","Jazz","Thursday",44,4.5
"Ania","HipHop","Friday",137,4.4
"Mski","Techno","Thursday",122,2.2
"Mski","Rock","Friday",48,2.1
"Ania","Rock","Saturday",78,1.5
"Monique","Rock","Saturday",50,3
"Brejcha","Rock","Saturday",53,4
"Blue","Jazz","Thursday",97,3.8
"Mski","Rock","Thursday",27,3.7
"Ania","Techno","Friday",43,2.5
"Monique","HipHop","Friday",26,1.6
"Ania","Techno","Thursday",91,1.9
"Ania","Rock","Thursday",22,4.1
"Blue","Jazz","Saturday",82,2.7
"Brejcha","Techno","Thursday",51,1.4
"Blue","Jazz","Friday",52,1.1
"Blue","HipHop","Friday",185,2.2
"Monique","Techno","Thursday",158,2.7
"Ania","Rock","Thursday",170,4.4
"Mski","Rock","Saturday",45,2.2
"Mski","Techno","Saturday",126,4.1
"Blue","Jazz","Thursday",87,3
"Ania","Techno","Friday",194,3
"Brejcha","HipHop","Saturday",120,1.2
"Blue","HipHop","Thursday",38,3.2
"Ania","Rock","Saturday",35,3.9
"Monique","HipHop","Thursday",200,4.7
"Brejcha","Rock","Thursday",108,2.9
"Mski","Jazz","Friday",22,1.1
"Monique","Jazz","Thursday",84,1.6
"Blue","HipHop","Thursday",87,3.8
"Blue","Techno","Thursday",184,4.6
"Mski","Jazz","Thursday",171,2.6
"Ania","Jazz","Thursday",200,2.8
"Brejcha","HipHop","Thursday",83,1.2
"Monique","Techno","Friday",145,1.2
"Monique","Techno","Friday",182,1.1
"Ania","HipHop","Friday",116,4.8
"Blue","Rock","Friday",27,1.1
"Mski","Rock","Saturday",48,2.1
"Monique","Rock","Friday",147,2.2
"Monique","Techno","Saturday",175,3.3
"Brejcha","Rock","Friday",60,3.2
"Monique","Techno","Saturday",199,4.8
"Mski","Rock","Saturday",45,2.2
"Blue","Techno","Friday",160,4
"Blue","Techno","Friday",64,1.6
"Ania","Jazz","Friday",43,3.1
"Blue","Techno","Saturday",68,1.7
"Monique","Techno","Friday",142,3.4
"Blue","Techno","Thursday",56,1.4
"Mski","Jazz","Friday",181,2.2
"Brejcha","Jazz","Thursday",194,4.8
"Brejcha","Jazz","Friday",194,4.3
"Ania","Rock","Saturday",93,3.2
"Blue","Rock","Saturday",173,3.3
"Mski","Rock","Thursday",20,5
"Blue","Rock","Thursday",49,2.1
"Mski","Jazz","Thursday",115,2.8
"Brejcha","Jazz","Saturday",39,2.2
"Monique","Jazz","Friday",151,4.6
"Monique","Techno","Saturday",143,3.8
"Ania","Rock","Friday",88,1.6
"Blue","Rock","Thursday",23,1.7
"Brejcha","HipHop","Thursday",111,1.6
"Blue","Jazz","Thursday",101,4.1
"Blue","HipHop","Saturday",192,1.7
"Ania","Techno","Saturday",138,4.2
"Brejcha","Jazz","Saturday",127,4.8
"Blue","Rock","Friday",186,1.7
"Ania","Rock","Saturday",121,1.8
"Monique","Rock","Friday",60,4.5
"Ania","Rock","Thursday",57,4
"Mski","Rock","Saturday",40,2.5
"Monique","Jazz","Thursday",186,2.2
"Monique","Techno","Thursday",41,4.7
"Ania","Jazz","Saturday",31,4.4
"Mski","Rock","Saturday",27,3.7
"Mski","Rock","Thursday",45,2.2
"Mski","Rock","Thursday",77,1.3
"Brejcha","Rock","Friday",112,4.3
"Mski","Rock","Friday",24,4.1
"Mski","Rock","Saturday",23,4.4
"Brejcha","HipHop","Saturday",80,1.8
"Brejcha","Rock","Saturday",144,3.7
"Blue","Jazz","Thursday",76,2.3
"Ania","Jazz","Friday",37,4.6
"Ania","Jazz","Saturday",67,3.6
"Blue","Techno","Friday",104,2.6
"Ania","Jazz","Saturday",87,4.4
"Monique","Techno","Saturday",62,2.8
"Mski","Rock","Friday",43,2.3
"Ania","Rock","Thursday",104,1.8
"Mski","Rock","Saturday",31,3.2
"Monique","Jazz","Thursday",66,4.7
"Monique","Jazz","Friday",78,1.2
"Ania","Rock","Friday",142,4.9
"Brejcha","Rock","Friday",110,1.1
"Brejcha","Rock","Saturday",92,1.5
"Brejcha","Rock","Thursday",119,1.1
"Monique","Jazz","Saturday",66,4.5
"Ania","Rock","Friday",124,1.8
"Blue","HipHop","Saturday",61,4.9
"Mski","HipHop","Friday",50,4.4
"Blue","HipHop","Friday",68,2.4
"Mski","Techno","Thursday",55,1.7
"Monique","HipHop","Friday",78,2.8
"Ania","Jazz","Thursday",120,1.7
"Brejcha","Rock","Friday",94,4.8
"Brejcha","HipHop","Thursday",140,2.5
"Blue","Techno","Thursday",48,1.2
"Brejcha","Jazz","Saturday",180,1.5
"Blue","HipHop","Saturday",59,3.4
"Ania","HipHop","Thursday",146,3.9
"Brejcha","Jazz","Friday",117,2.8
"Ania","Techno","Thursday",118,3.3
"Monique","Techno","Friday",40,4.2
"Brejcha","Rock","Thursday",195,4
"Brejcha","Techno","Saturday",180,2.5
"Brejcha","Jazz","Thursday",175,1.7
"Blue","HipHop","Friday",124,2.5
"Mski","HipHop","Saturday",80,2.9
"Ania","Jazz","Thursday",198,2.7
"Brejcha","Techno","Friday",35,3
"Ania","HipHop","Friday",62,3.4
"Blue","HipHop","Saturday",30,3.6
"Monique","Rock","Thursday",39,3.5
"Monique","HipHop","Friday",102,3.2
"Mski","Rock","Friday",50,2
"Ania","Rock","Thursday",51,1.9
"Monique","HipHop","Friday",200,4.7
"Blue","Rock","Friday",61,4.1
"Brejcha","Rock","Friday",79,1.5
"Mski","Jazz","Friday",99,3.6
"Brejcha","Techno","Friday",127,2.5
"Monique","Techno","Thursday",146,2.8
"Monique","Jazz","Friday",64,3
"Monique","Rock","Saturday",45,2.3
"Monique","Techno","Friday",90,3.6
"Blue","Jazz","Saturday",101,4.1
"Mski","Rock","Thursday",22,4.5
"Blue","Jazz","Friday",110,4.8
"Mski","Jazz","Saturday",21,1.4
"Monique","Techno","Thursday",42,4.7
"Monique","Techno","Saturday",157,2.9
"Blue","HipHop","Saturday",147,2.3
"Mski","Techno","Thursday",35,3.4
"Monique","Rock","Friday",71,2.8
"Brejcha","Rock","Saturday",56,1.3
