LinkedIN,Major,DOB,Tuition,College_location,ID,GPA
21,Humanities,1960,3054,WestCoast,1,2.89
8,Buisness,1975,12494,EastCoast,2,2.84
7,Buisness,1993,5885,WestCoast,3,2.65
10,Professional,1965,5205,Central,4,2.22
25,STEM,1989,9170,Central,5,2.28
19,Humanities,2002,4329,Central,6,2.14
64,Humanities,1953,4157,EastCoast,7,2.71
45,Vocational,1951,3692,WestCoast,8,1.85
19,Vocational,2001,5073,Central,9,1.92
18,Humanities,1951,6508,WestCoast,10,2.17
8,Professional,1960,6141,WestCoast,11,2.15
8,Humanities,1979,7166,Central,12,2.63
0,Vocational,1993,4437,Central,13,2.46
2,Other,1962,3361,Central,14,2.46
12,Buisness,1952,5478,Central,15,2.88
16,Professional,2002,4907,Central,16,2.48
0,Professional,1949,50563,WestCoast,17,3.13
24,Professional,1950,4381,EastCoast,18,3.02
30,Humanities,1954,8881,EastCoast,19,3.34
10,STEM,1960,4586,Central,20,2.13
2,Professional,1993,5203,EastCoast,21,1.93
12,Humanities,1973,4210,WestCoast,22,1.56
14,Professional,1959,4485,Central,23,2.12
23,Humanities,1993,2882,WestCoast,24,2.48
4,Vocational,2002,4841,WestCoast,25,1.77
21,STEM,1975,5376,WestCoast,26,2.41
48,Professional,1966,6916,Central,27,2.05
29,Vocational,1959,2116,WestCoast,28,2.94
3,STEM,1995,4171,WestCoast,29,2.88
30,Other,1969,2391,Central,30,2.71
14,Other,2000,6173,Central,31,1.53
16,Humanities,1962,3378,EastCoast,32,2.65
12,Buisness,1955,3735,EastCoast,33,3.36
18,Vocational,1985,3726,EastCoast,34,2.88
2,Humanities,1959,2192,Central,35,3.25
45,Other,1998,5477,EastCoast,36,2.31
43,STEM,1987,3538,WestCoast,37,2.16
6,Other,1996,3261,Central,38,2.62
61,Professional,1954,1712,Central,39,2.85
37,Vocational,1979,4102,WestCoast,40,2.79
13,Professional,1985,4570,Central,41,1.87
14,STEM,1979,5425,WestCoast,42,3.02
5,Other,1956,2738,Central,43,2.46
28,Vocational,1974,6948,EastCoast,44,2.05
64,Professional,2003,3775,Central,45,2.65
2,Buisness,1981,2141,EastCoast,46,2.53
19,Professional,1978,2483,Central,47,2.74
21,STEM,1976,3833,WestCoast,48,2.99
2,Vocational,1960,5893,WestCoast,49,2.38
25,Humanities,1977,4419,EastCoast,50,3
10,Vocational,1996,15684,EastCoast,51,2.37
49,Buisness,1966,19448,Central,52,3.07
53,Vocational,1995,3733,EastCoast,53,2.39
14,Humanities,1985,3738,Central,54,2.84
23,Professional,1982,5551,Central,55,2.63
11,Vocational,1970,7674,WestCoast,56,2.51
5,Buisness,1952,37860,EastCoast,57,2.89
1,Vocational,1966,1131,WestCoast,58,2.54
23,Other,1961,6590,Central,59,2.87
13,Professional,1952,7160,WestCoast,60,2.01
13,Professional,1962,3175,WestCoast,61,2.03
38,Humanities,1951,5160,EastCoast,62,1.56
22,Professional,1994,2697,WestCoast,63,3
10,Other,1982,2092,WestCoast,64,3.09
3,Vocational,1955,7116,EastCoast,65,3.04
5,Buisness,1976,2813,WestCoast,66,1.47
2,Humanities,1999,1766,WestCoast,67,2.28
7,Other,2002,9664,WestCoast,68,2.28
28,Professional,1980,1240,WestCoast,69,2.27
1,STEM,1967,24880,EastCoast,70,1.26
30,Buisness,1952,6862,WestCoast,71,2.11
3,Professional,1995,4228,Central,72,3.3
45,Vocational,1994,4075,WestCoast,73,2.26
13,Vocational,1966,7764,EastCoast,74,2.66
1,STEM,1994,1731,WestCoast,75,2.37
23,Humanities,1968,10576,EastCoast,76,2.5
12,Vocational,1968,14098,Central,77,3.39
5,Vocational,1995,4313,EastCoast,78,2.74
6,Humanities,1957,2801,EastCoast,79,2.19
4,Other,1968,4607,WestCoast,80,2.6
20,Vocational,1995,29428,EastCoast,81,3.2
6,Professional,1974,3239,EastCoast,82,2.34
55,Vocational,1982,3388,WestCoast,83,2.31
15,Humanities,2002,6279,Central,84,2.3
81,Professional,1983,23177,Central,85,2.81
22,Professional,1986,7995,EastCoast,86,2.96
93,Humanities,1991,2672,WestCoast,87,2.34
2,Vocational,1957,7233,WestCoast,88,2.51
18,Other,1958,3344,WestCoast,89,3.39
7,Humanities,1971,1478,Central,90,2.87
11,STEM,1969,3200,Central,91,2.82
39,Other,1982,3335,EastCoast,92,1.82
47,Other,1993,5898,EastCoast,93,1.95
12,STEM,1991,9114,EastCoast,94,1.89
49,STEM,1957,9943,EastCoast,95,1.95
20,STEM,1995,19377,Central,96,3.49
28,STEM,1981,3513,EastCoast,97,3.2
64,Humanities,1967,10488,EastCoast,98,2.33
5,Humanities,1976,1842,EastCoast,99,1.62
12,Buisness,1959,4822,Central,100,2.17
49,Other,1992,5439,Central,101,1.58
6,Vocational,1993,4798,EastCoast,102,2.61
1,Buisness,1959,54235,Central,103,2.6
47,STEM,1975,3065,WestCoast,104,2.03
12,Vocational,1983,5582,EastCoast,105,2.81
