"Home","Car","Debt","Income","Amount"
"Yes","No",0,178933,357869.146319941
"Yes","No",0,95199,190394.119786027
"Yes","No",0,50205,100424.674875061
"Yes","Yes",0,136501,682506.527330105
"Yes","No",1e+05,29957,59931.4555651944
"Yes","Yes",0,72296,361488.796912904
"No","No",0,136882,369.99269895369
"Yes","No",0,139274,278546.67210325
"Yes","No",1e+05,83230,166456.79880906
"No","Yes",1e+05,110733,55362.6169884593
"Yes","No",1e+05,191486,382970.787742517
"No","Yes",0,182761,91382.8314192828
"Yes","No",1e+05,96845,193686.60161674
"No","No",1e+05,128731,358.795142922082
"Yes","No",0,84970,169942.297417877
"Yes","No",0,90952,181917.351631285
"No","Yes",1e+05,32826,16423.127286472
"Yes","No",0,188785,377563.497831566
"Yes","No",1e+05,139674,279366.159516318
"Yes","No",0,81091,162194.449565186
"No","Yes",0,148042,74050.270569968
"Yes","Yes",0,94140,470681.396599984
"No","No",0,86045,293.356557213644
"No","Yes",0,134766,67361.0458991538
"No","Yes",1e+05,85284,42642.9347992635
"Yes","Yes",1e+05,144778,623901.53351154
"No","Yes",0,98891,49444.7782559893
"Yes","Yes",1e+05,159040,695214.911797574
"Yes","No",0,62702,125395.317698502
"Yes","No",1e+05,173208,346403.357992787
"Yes","No",0,58520,117051.497161366
"No","No",1e+05,51180,226.226380642718
"Yes","No",0,149049,298105.191020851
"No","No",0,26387,162.436886228869
"No","No",1e+05,192039,438.232813179247
"Yes","No",1e+05,196720,393435.266562438
"No","No",1e+05,138938,372.743067761108
"Yes","No",1e+05,71488,142983.126891822
"No","No",0,160491,400.615282885583
"Yes","No",0,38824,77655.4547123526
"No","No",0,88270,297.072620818154
"No","Yes",1e+05,143492,71748.8714032308
"No","No",0,103997,322.521611906958
"No","No",1e+05,135466,368.064618912997
"Yes","Yes",1e+05,60000,200006.896907625
"No","Yes",0,47193,23604.7032119697
"No","No",1e+05,54762,234.0357223865
"No","Yes",0,142642,71340.0310367152
"Yes","Yes",0,142046,710228.669165068
"No","Yes",0,155022,77509.4596525125
"Yes","No",0,124719,249426.143192386
"No","No",0,81084,284.71939642429
"No","Yes",0,154613,77321.816835057
"No","Yes",0,89462,44727.6908923895
"Yes","No",1e+05,160066,320129.465815064
"Yes","No",0,196605,393210.024164858
"Yes","Yes",1e+05,99902,399515.196264519
"No","No",0,80565,283.864140524105
"No","Yes",1e+05,50647,25323.9662014163
"No","Yes",0,86682,43340.736029426
"Yes","Yes",1e+05,93373,366869.522748869
"No","Yes",1e+05,166912,83467.3522499328
"Yes","No",1e+05,110192,220380.265706577
"Yes","Yes",1e+05,102087,410437.621221134
"Yes","Yes",1e+05,99492,397467.470743233
"Yes","Yes",0,172952,864750.03863766
"Yes","No",1e+05,188298,376597.906987069
"Yes","No",0,182511,365024.902633141
"No","Yes",1e+05,73447,36732.7606519527
"Yes","Yes",0,195688,978439.44620512
"No","Yes",1e+05,137725,68875.2982393681
"Yes","No",1e+05,104683,209372.336622642
"Yes","Yes",0,189148,945738.717767113
"Yes","No",0,57097,114194.462607354
"Yes","Yes",1e+05,193306,866523.539526238
"Yes","No",1e+05,186075,372153.362722206
"Yes","No",1e+05,165505,330998.807601185
"No","Yes",1e+05,65570,32792.9590225075
"No","No",1e+05,105629,325.019006528512
"Yes","No",1e+05,27241,54488.8459913241
"Yes","Yes",0,165859,829295.986448261
"No","Yes",1e+05,167863,83948.124223361
"Yes","Yes",0,27615,138074.671000119
"No","Yes",1e+05,94140,47060.9874185503
"Yes","No",0,163189,326353.566984563
"Yes","No",0,132628,265265.5501075
"No","No",1e+05,183842,428.758733059874
"No","No",0,43988,209.737441629602
"No","Yes",1e+05,88391,44188.3596790529
"Yes","No",1e+05,191730,383459.608628761
"Yes","Yes",1e+05,190840,854214.961989207
"Yes","Yes",0,27331,136639.629716607
"Yes","No",0,53234,106466.602171662
"Yes","Yes",1e+05,66567,232820.342589411
"Yes","No",1e+05,90359,180713.25137388
"Yes","No",0,139946,279903.776084859
"No","Yes",1e+05,83133,41564.0326197085
"Yes","Yes",0,123075,615396.685531455
"Yes","Yes",1e+05,135873,579350.79362286
"Yes","No",0,40040,80078.4014087981
"No","No",0,51662,227.265983411263
"No","No",0,40637,201.590133833858
"Yes","Yes",0,65219,326099.96446791
"No","Yes",1e+05,120745,60379.3492248825
"No","No",0,72240,268.777944687764
"Yes","Yes",1e+05,192376,861883.486475753
"No","No",0,37116,192.671151542566
"No","Yes",1e+05,184280,92134.1962533757
"No","No",1e+05,140632,375.026366755534
"Yes","No",0,171726,343447.595569808
"No","No",1e+05,168171,410.072193159619
"Yes","No",0,28460,56910.6594069524
"No","Yes",0,160248,80121.7129098542
"No","Yes",1e+05,28132,14070.2029971937
"Yes","No",0,135496,271001.468361917
"No","No",0,86166,293.53731235878
"No","No",1e+05,178296,422.242991078205
"Yes","No",1e+05,192173,384346.650118846
"No","No",1e+05,153058,391.241780592796
"Yes","No",0,76099,152204.167852607
"No","Yes",0,120241,60120.2341935327
"No","Yes",1e+05,57983,28995.4202254218
"No","No",1e+05,143259,378.529254585146
"Yes","No",1e+05,163600,327194.760632666
"No","No",0,147982,384.686649792699
"No","Yes",1e+05,45099,22540.4882693354
"No","Yes",0,134665,67307.9305685586
"No","No",1e+05,195268,441.890415817762
"No","Yes",1e+05,142385,71185.5135203355
"Yes","No",1e+05,176100,352201.826950925
"Yes","No",1e+05,45116,90241.6142137194
"No","Yes",1e+05,41025,20521.7685480767
"Yes","No",1e+05,177358,354724.817142806
"Yes","No",0,145218,290432.154493422
"Yes","Yes",1e+05,138267,591321.889621331
"No","No",0,142360,377.303985919286
"No","No",0,91882,303.123501129951
"No","Yes",1e+05,120582,60292.9619579948
"No","Yes",1e+05,34514,17273.2666373944
"No","No",0,181981,426.584499626522
"No","Yes",0,94452,47227.9859807224
"Yes","Yes",1e+05,40082,100398.978809004
"Yes","No",0,75253,150510.721708706
"No","Yes",1e+05,67484,33754.5088861214
"Yes","Yes",0,47678,238389.014033284
"Yes","No",0,63156,126333.101264057
"No","No",1e+05,151912,389.761688932116
"Yes","Yes",1e+05,95162,375828.98191214
"No","No",1e+05,176503,420.134427624443
"Yes","Yes",0,42777,213875.942137023
"Yes","Yes",1e+05,189892,849463.209045395
"Yes","No",1e+05,78113,156235.646174056
"Yes","Yes",1e+05,162259,711287.880451502
"No","Yes",0,145742,72861.6217565178
"Yes","No",1e+05,98355,196698.685594271
"Yes","No",1e+05,109043,218088.231144577
"No","Yes",0,177349,88663.2880346081
"Yes","Yes",0,26440,132208.341971722
"No","No",1e+05,133386,365.211771339597
"Yes","No",1e+05,85011,170046.137920649
"Yes","No",0,54802,109611.316151188
"Yes","No",1e+05,138292,276574.149811801
"Yes","No",1e+05,187131,374238.078208582
"Yes","No",0,75524,151070.662986747
"No","Yes",0,160571,80281.4460383724
"No","No",0,132178,363.565853999776
"Yes","No",1e+05,91621,183243.573383412
"No","Yes",1e+05,51014,25499.1801431392
"Yes","No",1e+05,58582,117147.360255625
"No","Yes",0,179063,89539.0089045628
"No","Yes",1e+05,96693,48355.4014802327
"No","No",0,25889,160.887235231773
"No","Yes",1e+05,188655,94324.6141930794
"No","Yes",0,112551,56261.1829380243
"Yes","No",0,175650,351303.543604513
"Yes","No",0,142871,285726.336978608
"Yes","No",0,124362,248724.191844786
"Yes","No",0,58288,116564.266124102
"Yes","No",1e+05,125493,250989.294358286
"No","Yes",1e+05,121215,60598.8775644658
"No","No",1e+05,24549,156.686061044904
"No","Yes",0,189774,94897.7272655181
"No","Yes",1e+05,175159,87596.868190466
"Yes","No",1e+05,29702,59401.5576796671
"Yes","Yes",0,184178,920886.629269543
"Yes","Yes",1e+05,109347,446737.498703589
"No","No",1e+05,80066,282.962083506788
"Yes","Yes",1e+05,47559,137804.024278204
"Yes","Yes",1e+05,51683,158411.693930851
"Yes","Yes",1e+05,125941,529709.791844815
"Yes","No",0,122504,245002.299865947
"Yes","No",1e+05,135067,270130.291858333
"No","Yes",0,95605,47800.2438761102
"Yes","No",1e+05,144059,288109.31221755
"Yes","No",0,124643,249284.026318797
"No","Yes",0,66941,33457.8719542671
"Yes","Yes",1e+05,195335,876678.55862177
"Yes","No",1e+05,143165,286319.847179213
"Yes","Yes",0,118674,593388.093057163
"No","Yes",0,144790,72394.2661972347
"No","Yes",0,29824,14906.992194083
"Yes","Yes",0,55993,279965.0114582
"No","Yes",1e+05,86040,43024.6621436957
"No","No",1e+05,32593,180.502799424811
"No","Yes",1e+05,65793,32886.8879164613
"Yes","Yes",1e+05,27665,38318.1428832169
"Yes","Yes",0,101093,505477.905731287
"No","No",0,183064,427.888075318171
"Yes","Yes",1e+05,84639,323198.430472443
"Yes","No",0,100052,200100.237269556
"No","No",0,58386,241.640362486999
"No","No",0,20571,143.424044596123
"Yes","No",1e+05,187286,374569.026528755
"No","No",0,195050,441.643891828435
"No","No",0,79899,282.668576962388
"No","No",0,140455,374.798810939796
"No","Yes",0,20782,10405.7068533906
"Yes","Yes",0,50542,252723.768962773
"Yes","No",1e+05,110387,220770.154294532
"No","No",0,52375,228.84539946557
"No","No",0,171931,414.633331966872
"Yes","No",0,45748,91501.5403092918
"Yes","No",1e+05,22822,45648.0206247017
"Yes","No",1e+05,38814,77637.1005197524
"No","No",0,115399,339.703636863098
"No","No",0,41623,203.980072967247
"No","Yes",0,149166,74600.8317338351
"Yes","No",1e+05,50776,101556.371881617
"Yes","Yes",0,197692,988461.9618604
"No","No",1e+05,72677,269.571894145597
"Yes","Yes",1e+05,130817,554083.633343448
"Yes","Yes",0,102069,510328.415545409
"No","No",1e+05,123492,351.394188960872
"No","Yes",1e+05,129881,64961.5391214046
"No","Yes",1e+05,198884,99440.4989971691
"Yes","Yes",0,89931,449655.893313947
"Yes","No",1e+05,132819,265640.904683694
"No","No",1e+05,97242,311.827692703935
"Yes","Yes",1e+05,137556,587775.104499739
"Yes","Yes",0,151146,755741.933711004
"Yes","No",0,36396,72794.0914247471
"No","No",0,100414,316.873544236667
"No","No",0,28030,167.428697701198
"Yes","Yes",0,138938,694678.570771074
"Yes","No",0,52317,104626.554597052
"Yes","No",0,170226,340456.377286374
"Yes","Yes",0,47907,239523.089946339
"No","No",0,36441,190.918523651545
"No","Yes",1e+05,45449,22717.806549918
"No","No",0,82167,286.667407865993
"Yes","No",1e+05,97630,195263.543815113
"Yes","No",1e+05,187761,375522.620483689
"Yes","No",0,109173,218347.599081702
"Yes","No",0,156323,312665.092578703
"Yes","Yes",0,189279,946391.147754789
"No","No",0,127051,356.459525903157
"Yes","Yes",0,31795,158982.95768797
"Yes","No",1e+05,69173,138348.865888194
"Yes","No",1e+05,20642,41301.3678635239
"Yes","Yes",0,167537,837690.036464029
"Yes","Yes",1e+05,170950,754745.364037221
"No","Yes",0,101390,50691.4021918472
"Yes","Yes",1e+05,96182,380913.569967994
"Yes","Yes",1e+05,109241,446190.690526486
"Yes","No",0,95859,191728.203093685
"No","No",1e+05,149747,386.965146948036
"No","Yes",1e+05,29443,14746.52419186
"Yes","Yes",1e+05,179037,795201.459895837
"Yes","Yes",1e+05,86541,332709.201751296
"No","Yes",1e+05,188894,94438.2061665146
"No","No",1e+05,140692,375.065842858879
"No","Yes",0,157602,78794.3338699059
"No","No",1e+05,56959,238.702865559212
"Yes","Yes",0,134377,671875.681754061
"Yes","No",1e+05,139727,279455.724048727
"Yes","No",1e+05,98677,197371.550538045
"Yes","Yes",1e+05,115739,478691.443764395
"Yes","Yes",1e+05,170867,754336.55930445
"Yes","No",0,87077,174158.61472926
"Yes","No",0,30542,61081.8857223996
"Yes","No",0,93351,186695.002537048
"Yes","Yes",1e+05,178019,790114.113133409
"Yes","No",1e+05,153903,307796.947102219
"Yes","No",0,55926,111864.530665074
"No","Yes",0,85378,42688.1461888414
"No","No",0,157102,396.353303258006
"No","Yes",1e+05,100532,50267.9208027627
"No","No",0,58237,241.337473449796
"No","Yes",0,78703,39351.5265268366
"No","No",0,28936,170.072184906864
"No","Yes",1e+05,109389,54684.0935420736
"No","No",1e+05,116952,341.987905007974
"No","Yes",1e+05,34439,17217.9232293218
"Yes","Yes",1e+05,57301,186496.683960043
"No","Yes",1e+05,142830,71433.6892259799
"No","No",1e+05,186568,431.928330425353
"No","No",1e+05,90541,300.91196672868
"No","Yes",0,192042,96018.7534969926
"Yes","No",1e+05,40686,81373.9626519136
"Yes","Yes",1e+05,25333,26659.1010998349
"No","No",1e+05,84874,291.339619254887
"No","No",0,46037,214.552207326369
"No","No",0,45884,214.229477043427
"Yes","No",1e+05,163462,326921.302388385
"No","No",0,43508,208.568888403485
"Yes","Yes",1e+05,57695,188487.521211217
"Yes","No",1e+05,86622,173238.210725854
"No","No",1e+05,120907,347.731848174558
"No","No",0,150113,387.454691561698
"Yes","Yes",0,194090,970442.538223704
"No","No",0,175245,418.621321414878
"Yes","No",1e+05,189760,379513.965553146
"Yes","No",0,22843,45666.5223879495
"Yes","No",0,74717,149418.494135045
"No","No",0,27530,165.930794479586
"Yes","Yes",1e+05,115641,478202.847947217
"No","No",1e+05,152162,390.094119276559
"Yes","No",0,192992,385978.257511192
"Yes","Yes",1e+05,130828,554133.339086885
"No","Yes",1e+05,38696,19365.5030213842
"Yes","Yes",1e+05,40467,102343.606941093
"No","No",1e+05,37794,194.396746045492
"Yes","Yes",1e+05,121445,507231.403322878
"Yes","Yes",1e+05,32498,62497.8062365705
"Yes","Yes",0,23960,119796.325109663
"Yes","No",0,142049,284095.471777396
"No","Yes",1e+05,147038,73532.6569310098
"No","No",1e+05,48328,219.859980357625
"Yes","Yes",0,119715,598562.667694218
"Yes","No",0,91867,183721.830093531
"No","Yes",0,68716,34348.5282885523
"Yes","Yes",1e+05,77712,288565.951685611
"Yes","No",1e+05,59820,119634.835563954
"Yes","No",1e+05,156387,312783.874828345
"No","Yes",1e+05,108149,54065.9655755015
"No","Yes",1e+05,92845,46426.1767616305
"No","No",0,142983,378.135380646142
"No","No",1e+05,53824,231.963602312286
"No","No",1e+05,83099,288.289288359954
"Yes","Yes",1e+05,185097,825480.121043619
"Yes","No",0,48127,96259.0475462179
"No","No",0,45844,214.102592461866
"Yes","No",1e+05,138428,276835.380557481
"No","Yes",0,90501,45235.5893387097
"Yes","No",0,186002,372019.043197846
"Yes","No",0,100352,200691.765391438
"Yes","No",1e+05,145638,291282.255227393
"No","No",0,79624,282.133194250042
"Yes","No",0,188244,376498.92299471
"No","No",0,154813,393.467277642021
"No","No",1e+05,180928,425.36339262077
"Yes","Yes",1e+05,192704,863520.538774706
"No","Yes",1e+05,21063,10540.1694492901
"No","No",0,119564,345.781810901851
"Yes","Yes",1e+05,128528,542643.417610777
"No","Yes",1e+05,146862,73434.8626487484
"Yes","No",0,179704,359405.712495786
"No","Yes",0,170121,85063.5113034306
"No","No",0,155221,393.990305417388
"Yes","No",0,119664,239332.929680811
"No","Yes",0,66489,33229.7363996941
"No","Yes",1e+05,192068,96036.5379689188
"Yes","No",0,88608,177210.442547326
"No","No",0,148353,385.172391090247
"Yes","Yes",0,154627,773114.969572053
"No","Yes",0,147833,73906.9642184485
"No","Yes",1e+05,154479,77235.8679857274
"No","Yes",1e+05,188962,94476.4189018631
"No","No",1e+05,42400,205.882275409774
"No","No",1e+05,166303,407.797312077233
"No","Yes",1e+05,80094,40051.9839288385
"Yes","Yes",0,20612,103046.597897231
"Yes","Yes",0,64532,322661.861458969
"Yes","No",1e+05,132735,265468.977735218
"Yes","No",0,199451,398889.45501793
"No","No",0,123847,351.913585534119
"Yes","No",1e+05,23061,46124.6837547209
"No","No",1e+05,115920,340.494419026493
"Yes","No",1e+05,188583,377187.638747672
"Yes","No",0,90789,181579.840304469
"No","No",0,72395,269.044187838652
"No","Yes",0,164902,82455.6101071041
"Yes","Yes",1e+05,90224,351117.210950928
"No","No",0,125494,354.254691088549
"Yes","Yes",0,130057,650299.278251226
"No","Yes",1e+05,152411,76201.7504641791
"No","No",0,151506,389.250121827384
"No","Yes",1e+05,36935,18471.4216234116
"Yes","Yes",0,172191,860959.612922117
"No","Yes",0,24964,12479.4645851495
"No","Yes",1e+05,88400,44209.3581422714
"No","Yes",0,175217,87613.1674750748
"Yes","Yes",1e+05,175445,777228.051200241
"No","Yes",0,164355,82171.290097623
"No","No",1e+05,112614,335.604127793084
