"Home","Car","Debt","Income","Amount"
"Yes","Yes",0,183121,915604.488222265
"No","No",1e+05,30003,173.217150701711
"No","Yes",0,86882,43428.549484682
"No","Yes",1e+05,38917,19459.5689448147
"Yes","No",1e+05,80101,160204.868452925
"Yes","No",1e+05,28786,57576.3189898293
"No","No",1e+05,40429,201.076421671028
"No","No",1e+05,134040,366.105971544287
"No","No",1e+05,192158,438.352554484363
"Yes","Yes",0,140804,704013.744645198
"Yes","Yes",1e+05,169050,745251.286090359
"Yes","Yes",0,166844,834213.037955015
"Yes","Yes",0,98640,493220.239736518
"Yes","No",1e+05,161968,323931.248233816
"Yes","Yes",1e+05,21659,8295.78408704506
"No","No",1e+05,31574,177.693632701776
"No","No",0,170084,412.420111473623
"Yes","Yes",0,137342,686696.469409638
"No","Yes",1e+05,178374,89185.3471834866
"Yes","Yes",1e+05,197538,887680.231234231
"Yes","No",0,132351,264695.209777228
"Yes","No",1e+05,95818,191650.225222027
"Yes","No",1e+05,21842,43698.9040165388
"Yes","Yes",0,83222,416109.193371942
"No","Yes",0,185724,92866.4142052963
"No","No",1e+05,89002,298.349973761382
"Yes","No",1e+05,42460,84917.5382778075
"Yes","No",1e+05,128901,257789.855346328
"No","Yes",1e+05,129446,64726.7323983914
"Yes","No",1e+05,87145,174301.124617762
"Yes","Yes",0,102250,511263.194839451
"Yes","No",1e+05,37267,74547.4411134131
"Yes","Yes",1e+05,83544,317714.013547045
"No","No",0,153647,391.973306755984
"No","Yes",0,98762,49364.7314369659
"No","Yes",0,122919,61468.2184352324
"No","No",0,33698,183.548772447076
"No","No",0,175026,418.343676263527
"Yes","Yes",1e+05,149052,645253.406264007
"No","Yes",0,104480,52235.7583825647
"No","No",0,20246,142.252823423499
"Yes","No",1e+05,105256,210509.913486176
"Yes","Yes",1e+05,65976,229889.978749139
"Yes","Yes",1e+05,63873,219365.443069154
"No","No",1e+05,26704,163.440492878056
"No","No",0,62183,249.338453148367
"No","Yes",1e+05,122429,61214.0436105538
"No","No",1e+05,28705,169.388793012395
"No","No",1e+05,153460,391.733241422826
"Yes","Yes",1e+05,64489,222438.498701019
"No","No",1e+05,187382,432.866753323736
"No","No",1e+05,73812,271.700705479771
"Yes","No",0,119224,238452.49077991
"No","Yes",0,135925,67961.5074043503
"No","Yes",1e+05,70108,35054.5026243389
"Yes","No",1e+05,156223,312435.594536162
"No","No",1e+05,42232,205.517843405122
"Yes","No",1e+05,155792,311583.932964807
"No","No",1e+05,22653,150.455302972843
"Yes","No",1e+05,184199,368379.515745764
"Yes","No",0,107721,215440.524301655
"Yes","Yes",0,199847,999216.740130937
"Yes","Yes",1e+05,160734,703671.64537576
"No","No",0,128745,358.841601478996
"Yes","No",0,163755,327501.501308989
"No","Yes",1e+05,47134,23574.918746798
"No","Yes",1e+05,163205,81591.5352666368
"No","No",0,26683,163.345575890439
"Yes","Yes",1e+05,154003,669999.967406758
"Yes","No",0,117009,234029.085672953
"Yes","No",0,32404,64819.1918636648
"Yes","Yes",0,162862,814304.885954257
"No","Yes",1e+05,158625,79307.1031766421
"No","No",0,56125,236.912662015441
"No","Yes",1e+05,27300,13651.4621200044
"Yes","Yes",1e+05,90252,351245.701498701
"No","Yes",1e+05,192090,96032.3577353415
"No","No",1e+05,120454,347.088276710021
"Yes","Yes",1e+05,40704,103532.365417357
"No","No",1e+05,195219,441.844372363831
"Yes","No",1e+05,26106,52225.200022549
"Yes","No",0,175756,351504.037528311
"Yes","Yes",0,47679,238397.971363747
"No","No",0,136855,369.937450844933
"No","No",1e+05,22974,151.529791997082
"Yes","Yes",0,104274,521376.845927381
"Yes","Yes",1e+05,111966,459823.334589522
"Yes","No",1e+05,171547,343081.197407992
"No","No",1e+05,57125,238.976551501626
"Yes","No",1e+05,170877,341747.123622643
"No","No",1e+05,153436,391.700992226944
"Yes","No",0,83109,166247.066576582
"Yes","No",1e+05,68249,136513.167579593
"No","Yes",1e+05,170966,85499.8444021078
"Yes","No",1e+05,144613,289228.295975512
"No","Yes",0,123347,61690.8388062555
"Yes","Yes",1e+05,63662,218308.214990909
"Yes","No",1e+05,105080,210161.111693115
"Yes","Yes",0,161059,805301.859116535
"No","No",1e+05,104841,323.799963664432
"No","No",0,187416,432.919579575404
"No","Yes",1e+05,50719,25362.1241776308
"Yes","Yes",0,113939,569703.581715467
"Yes","No",0,107695,215393.595549241
"No","No",1e+05,42248,205.530353339243
"Yes","Yes",1e+05,189898,849489.021702257
"No","No",1e+05,115190,339.411759413474
"No","Yes",0,51556,25773.605768447
"Yes","Yes",1e+05,178530,792661.540470729
"No","Yes",0,48696,24346.5166007478
"No","No",1e+05,178628,422.645750028983
"Yes","Yes",0,96962,484814.383049307
"Yes","No",0,134901,269818.389770053
"Yes","No",0,61235,122471.610252884
"Yes","Yes",1e+05,43396,116957.748319555
"No","No",1e+05,176962,420.691832679446
"Yes","No",1e+05,177138,354278.686813749
"No","No",1e+05,50080,223.736550849454
"Yes","No",1e+05,34254,68521.781537384
"No","No",0,165429,406.735237624797
"Yes","Yes",1e+05,63335,216675.481032954
"Yes","No",0,91521,183042.60721559
"Yes","Yes",1e+05,151195,655970.767090724
"Yes","No",1e+05,139166,278338.384074057
"Yes","No",0,156913,313814.683891098
"Yes","No",1e+05,126700,253408.563039448
"Yes","No",0,145626,291244.43441801
"No","Yes",0,177487,88720.9902633337
"No","Yes",1e+05,129325,64661.6919029727
"Yes","Yes",0,103795,518970.893408268
"Yes","Yes",0,64319,321586.468091903
"Yes","No",1e+05,151771,303526.912358494
"No","No",0,165308,406.568483458537
"No","Yes",0,159702,79844.0131066317
"No","Yes",0,179235,89621.6074992622
"Yes","Yes",0,195350,976749.962003089
"Yes","No",0,58779,117542.485521758
"No","Yes",1e+05,141596,70789.7328995963
"No","Yes",0,133902,66964.484876944
"Yes","No",1e+05,74751,149509.077918711
"Yes","No",1e+05,161303,322608.585571976
"No","No",0,56902,238.540062836318
"Yes","No",0,83561,167125.295342374
"Yes","Yes",0,199532,997649.792424718
"Yes","Yes",0,33168,165838.546105235
"Yes","Yes",0,128260,641294.889713325
"No","No",1e+05,45658,213.667416153585
"No","No",0,70079,264.722791883804
"Yes","No",0,196854,393716.958203583
"No","No",0,55747,236.141573326062
"No","Yes",1e+05,187490,93743.9977194711
"Yes","Yes",0,34658,173303.526021122
"Yes","Yes",0,41160,205802.220677411
"No","Yes",1e+05,46292,23147.3141542959
"Yes","Yes",1e+05,60517,202588.632349529
"Yes","Yes",1e+05,76388,281945.341451666
"No","No",0,26007,161.237585139836
"Yes","Yes",0,52529,262641.228605455
"Yes","Yes",1e+05,67169,235855.552399772
"Yes","Yes",1e+05,185758,828793.175590953
"Yes","No",0,171973,343949.735175127
"No","Yes",0,118758,59385.0469372232
"No","No",1e+05,20163,141.989217778205
"Yes","Yes",1e+05,173237,766191.456526611
"No","Yes",0,114562,57284.8823979075
"No","Yes",1e+05,91802,45892.6789083769
"Yes","No",0,90511,181018.813712954
"No","No",1e+05,143705,379.087672953936
"Yes","Yes",0,69828,349121.393467792
"Yes","Yes",1e+05,84716,323587.096552301
"No","No",0,101270,318.234366476293
"No","No",0,128683,358.703831789453
"Yes","No",1e+05,123837,247658.976322565
"No","No",0,44791,211.663856054045
"Yes","No",0,136407,272817.88651736
"Yes","No",1e+05,174604,349218.544702113
"No","No",1e+05,147992,384.679158473268
"Yes","No",1e+05,38254,76513.2489284556
"Yes","Yes",1e+05,187421,837087.106603739
"Yes","Yes",1e+05,173349,766745.113189461
"Yes","Yes",0,39482,197404.540172141
"No","Yes",0,55250,27623.511196311
"Yes","Yes",0,58039,290202.718352713
"No","Yes",0,37694,18848.1402985398
"Yes","No",0,83072,166140.297266463
"No","Yes",0,27207,13603.686419733
"No","Yes",0,56949,28488.6641965474
"Yes","No",1e+05,62613,125241.560735813
"Yes","No",0,65814,131609.796794084
"Yes","Yes",0,142159,710801.800003945
"Yes","Yes",1e+05,39133,95650.8591598778
"Yes","Yes",1e+05,188681,843410.719893639
"Yes","Yes",1e+05,149722,648607.999522484
"No","No",0,148894,385.879979754911
"No","Yes",1e+05,154973,77483.1913496376
"Yes","No",0,108724,217445.288133302
"No","No",0,66347,257.557313091303
"Yes","No",0,160082,320156.673139947
"Yes","No",1e+05,50069,100136.492369366
"No","No",1e+05,34634,186.107986694588
"No","Yes",1e+05,109331,54677.4546016439
"No","Yes",0,93317,46657.0811009746
"No","Yes",0,150671,75317.7838545067
"Yes","Yes",0,137086,685421.171568587
"Yes","No",0,178596,357183.101840461
"No","No",0,48004,219.087642234246
"Yes","Yes",1e+05,70725,253621.740468352
"No","No",0,149740,386.976441998757
"No","No",0,72351,268.955893880746
"No","No",0,29317,171.170326663785
"Yes","Yes",1e+05,82837,314189.710212143
"Yes","Yes",1e+05,172919,764607.813903316
"No","Yes",1e+05,147536,73786.6026606625
"No","No",0,127404,356.948424594164
"No","No",0,165832,407.223409716456
"Yes","Yes",0,142846,714228.834384247
"Yes","Yes",0,187833,939181.368418236
"Yes","No",1e+05,48717,97421.9538811755
"Yes","No",0,150451,300907.384687444
"Yes","Yes",0,191607,958041.557595851
"No","No",0,103708,322.040235221309
"Yes","Yes",0,119023,595120.255603287
"Yes","No",0,63765,127532.050027
"No","Yes",1e+05,183716,91847.1309970641
"No","No",1e+05,73677,271.440579844789
"No","Yes",1e+05,179835,89929.0875174812
"Yes","Yes",1e+05,122448,512252.492010647
"Yes","Yes",1e+05,147977,639872.308863542
"Yes","Yes",0,31178,155903.84917857
"Yes","Yes",1e+05,60716,203555.051892881
"No","No",0,124584,352.980096640919
"No","Yes",0,118987,59517.2548191437
"No","No",1e+05,158930,398.667259382626
"Yes","Yes",0,155637,778181.595344963
"Yes","No",1e+05,84200,168416.864244817
"No","Yes",1e+05,169329,84671.7452330964
"No","Yes",1e+05,42457,21240.2518866096
"Yes","Yes",1e+05,134901,574495.947969864
"No","Yes",0,197828,98927.2048077796
"No","Yes",1e+05,27980,13983.9562232877
"No","Yes",1e+05,76510,38257.1359372067
"No","Yes",1e+05,99432,49701.4865913942
"No","No",1e+05,188846,434.565191756849
"Yes","Yes",1e+05,173684,768437.246021925
"Yes","Yes",1e+05,188172,840870.425906493
"No","Yes",1e+05,93801,46912.541249229
"No","Yes",1e+05,112453,56227.8105159431
"No","No",0,85001,291.534388707349
"No","Yes",0,86940,43469.8956010915
"No","No",0,191563,437.695928339609
"No","No",1e+05,134013,366.090423332868
"Yes","Yes",0,157824,789107.928031862
"Yes","Yes",0,172210,861048.461895148
"No","No",0,27083,164.544690887146
"No","No",1e+05,126712,355.983109927867
"No","No",1e+05,96261,310.282126892356
"Yes","No",1e+05,35432,70884.5283033475
"No","Yes",1e+05,133545,66775.4453271605
"No","Yes",0,36547,18258.0763132852
"Yes","No",1e+05,164286,328575.820600839
"No","No",1e+05,119336,345.444975367896
"No","No",1e+05,112283,335.065205603051
"Yes","No",1e+05,86704,173414.673216548
"No","No",0,41122,202.746968892356
"No","Yes",0,196487,98237.7650650079
"Yes","Yes",1e+05,35833,79151.2410485391
"Yes","Yes",1e+05,121802,508997.879451324
"Yes","No",1e+05,26535,53084.2434904023
"Yes","Yes",0,32505,162528.549585396
"No","No",0,88019,296.680772791982
"Yes","Yes",0,37878,189389.827223882
"No","No",1e+05,24508,156.583021053325
"Yes","Yes",1e+05,121668,508329.239383372
"Yes","No",1e+05,71968,143939.948835702
"Yes","Yes",0,179370,896846.09704094
"No","Yes",0,153655,76812.5063399065
"No","No",0,38957,197.347429722359
"Yes","No",0,107120,214233.914947689
"No","Yes",1e+05,174693,87341.7572582271
"Yes","Yes",0,72258,361294.47457346
"Yes","Yes",0,48309,241540.726552949
"Yes","Yes",0,169965,849826.265980609
"Yes","Yes",0,137079,685398.172746213
"No","Yes",1e+05,40117,20065.553899976
"Yes","Yes",0,67280,336414.26025222
"No","Yes",0,42318,21160.9712348251
"No","Yes",0,95532,47781.3253745331
"No","Yes",1e+05,67380,33691.8350835284
"Yes","Yes",0,94352,471757.387153188
"No","No",1e+05,28184,167.917155860262
"No","No",0,90256,300.444946912305
"No","Yes",0,139435,69699.6331438916
"Yes","Yes",1e+05,122210,511035.138238083
"Yes","Yes",0,145851,729253.554575658
"No","No",1e+05,157884,397.381141954531
"Yes","No",1e+05,164135,328267.787407438
"Yes","Yes",1e+05,190075,850375.14432214
"No","Yes",1e+05,64674,32343.5763212242
"No","Yes",1e+05,162773,81397.4116636958
"No","No",0,122295,349.730009778501
"No","Yes",1e+05,177831,88903.7634314276
"Yes","No",0,82028,164043.953792194
"No","No",1e+05,125024,353.591021202047
"Yes","No",0,140384,280765.256652162
"Yes","No",1e+05,80131,160260.866496802
"Yes","No",0,173449,346881.491559745
"No","No",1e+05,23782,154.218926459093
"No","No",0,34647,186.115140110467
"Yes","No",1e+05,56280,112547.686672088
"Yes","Yes",1e+05,163129,715657.622729815
"Yes","No",0,144831,289659.500688246
"Yes","No",1e+05,167660,335311.149842545
"Yes","Yes",0,118721,593604.319950953
"Yes","Yes",0,186445,932218.437239253
"Yes","No",0,47487,94980.1316707952
"No","Yes",0,142773,71398.5297072145
"No","Yes",0,157237,78620.0346291294
"Yes","Yes",1e+05,88101,340509.269322573
"No","Yes",0,62241,31131.3511453442
"No","Yes",1e+05,158546,79272.7298399364
"Yes","No",1e+05,176277,352544.847755617
"No","Yes",1e+05,176610,88308.4939473947
"No","Yes",1e+05,165641,82829.5315464962
"Yes","No",1e+05,177707,355415.012144434
"Yes","No",0,138423,276854.6837704
"No","No",1e+05,198236,445.224564260445
"No","Yes",0,133882,66946.9167045837
"Yes","No",0,24225,48465.9873103742
"Yes","Yes",0,149532,747647.573641984
"No","Yes",1e+05,147697,73841.7161500791
"No","No",1e+05,44884,211.874032593201
"No","Yes",1e+05,81675,40836.4524381575
"Yes","No",0,160158,320298.707735325
