"Home","Car","Debt","Income","Amount"
"No","Yes",0,26489,52970.6107308471
"No","Yes",0,111371,222752.488448527
"Yes","No",1e+05,187285,936426.014163616
"Yes","Yes",0,153855,1538530.65015225
"No","No",0,142611,3778.61208722611
"Yes","Yes",0,151772,1517717.79778465
"No","Yes",1e+05,65659,131298.249588262
"Yes","No",0,169834,849162.683306849
"Yes","No",0,108133,540671.615419102
"Yes","No",0,66030,330138.536292029
"No","No",1e+05,133048,3641.82472382565
"No","Yes",1e+05,75746,151488.916062198
"Yes","No",1e+05,188858,944292.098841796
"Yes","No",0,177326,886636.485885017
"No","Yes",1e+05,199065,398144.149864256
"Yes","No",1e+05,75948,379728.937605323
"No","Yes",1e+05,185831,371651.012328232
"Yes","No",1e+05,147178,735894.233949577
"No","No",0,160541,4002.9821378956
"Yes","No",0,172376,861874.612242407
"No","No",1e+05,183001,4282.02213045614
"No","Yes",0,129635,259251.491152422
"Yes","Yes",0,76340,763409.056374442
"No","No",1e+05,176438,4206.81507372231
"No","Yes",1e+05,178055,356112.030209193
"No","No",0,168164,4092.49624112332
"No","No",1e+05,130022,3581.88590241223
"No","No",1e+05,93208,3047.51845838035
"Yes","No",0,32318,161586.826147696
"Yes","No",1e+05,51409,257028.53935317
"No","Yes",1e+05,145193,290385.896370963
"Yes","Yes",1e+05,69223,592233.350279485
"No","No",1e+05,116150,3401.52142227021
"No","Yes",0,32351,64714.5797475779
"Yes","Yes",1e+05,38302,283014.805959739
"Yes","Yes",1e+05,144782,1347837.7888698
"No","Yes",0,150692,301379.064634646
"No","No",0,36382,1906.8670409994
"No","No",0,44343,2104.47162409133
"Yes","Yes",0,79005,790063.740837233
"No","No",1e+05,75215,2752.42886777008
"Yes","No",1e+05,135617,678086.843359718
"Yes","No",0,95167,475827.677238025
"No","Yes",1e+05,65233,130462.155191107
"No","No",1e+05,106987,3267.79541596201
"No","No",1e+05,20187,1409.93502909615
"No","Yes",0,28546,57088.3361646739
"No","No",0,182797,4270.3117616719
"Yes","No",0,134927,674631.278362912
"No","No",0,172542,4153.50057396078
"Yes","No",0,149008,745016.535872218
"No","Yes",1e+05,40313,80639.0048985779
"Yes","Yes",1e+05,171298,1612983.12670592
"No","Yes",1e+05,196585,393146.870741173
"Yes","Yes",0,184954,1849524.0574404
"Yes","No",1e+05,179148,895748.205619043
"No","No",0,129903,3608.19402926638
"No","Yes",1e+05,120894,241778.653356722
"Yes","No",1e+05,51255,256290.008117588
"No","No",1e+05,106055,3238.71345484828
"No","Yes",0,131386,262779.750379992
"Yes","Yes",0,161408,1614089.57223022
"Yes","Yes",1e+05,75169,651696.022487047
"Yes","No",0,109445,547222.245780552
"No","No",0,70886,2636.24919989123
"Yes","Yes",1e+05,121556,1115565.17453581
"No","No",1e+05,143271,3788.48504026574
"No","Yes",0,94344,188691.923693667
"Yes","No",1e+05,106189,530941.579105355
"No","No",1e+05,129910,3599.86031875923
"Yes","Yes",0,70237,702360.392652989
"No","No",0,154004,3906.00905754314
"No","Yes",1e+05,196509,393038.517207698
"No","Yes",1e+05,178049,356098.866841842
"Yes","No",1e+05,26693,133461.771509079
"No","Yes",0,94454,188903.984432648
"Yes","No",0,53081,265411.071108094
"Yes","Yes",0,197422,1974216.78831502
"No","Yes",1e+05,53555,107118.112099635
"Yes","No",0,193019,965105.689647648
"No","Yes",1e+05,48086,96166.6073231323
"Yes","No",1e+05,124515,622578.760410267
"No","No",1e+05,124472,3519.34161099473
"Yes","Yes",0,153141,1531426.47672607
"Yes","Yes",0,69473,694741.957078745
"No","No",0,49359,2224.28325808493
"No","Yes",1e+05,76133,152258.85217163
"No","Yes",0,152732,305442.203904164
"Yes","Yes",1e+05,187153,1771534.33926364
"No","Yes",1e+05,178736,357480.42985752
"Yes","Yes",0,72723,727221.00260623
"No","No",0,61448,2485.29345242662
"No","Yes",1e+05,185867,371734.314112456
"Yes","No",0,194035,970186.894709246
"Yes","Yes",0,130801,1308007.04453418
"No","No",1e+05,161615,4037.88445397581
"Yes","Yes",0,181722,1817240.22177706
"No","No",1e+05,112170,3340.38864972301
"Yes","Yes",0,77924,779240.059659318
"No","No",0,189036,4340.43461781965
"Yes","No",1e+05,54971,274863.977894939
"Yes","Yes",0,34339,343386.297180882
"Yes","Yes",1e+05,170753,1607522.65014577
"No","Yes",1e+05,90882,181764.015890553
"No","Yes",0,144225,288448.145138328
"Yes","Yes",1e+05,45050,350489.961859611
"Yes","Yes",1e+05,143383,1333838.00315249
"No","No",1e+05,173658,4170.54246358725
"No","No",0,165014,4053.37535268005
"No","Yes",0,108088,216167.105045296
"No","No",1e+05,179158,4231.70661247155
"Yes","Yes",0,153397,1533957.2063076
"No","Yes",1e+05,45523,91045.7651397753
"No","No",1e+05,29609,1717.74504536112
"Yes","Yes",1e+05,121966,1119656.93524939
"Yes","No",0,146107,730535.704553575
"No","Yes",1e+05,106884,213777.09334789
"Yes","Yes",1e+05,114036,1040363.33189275
"Yes","Yes",1e+05,101840,918391.668778474
"Yes","No",0,25525,127601.317908922
"No","Yes",1e+05,29930,59855.2798156037
"No","Yes",0,42162,84312.4419409605
"No","No",1e+05,130076,3614.80197998669
"No","Yes",1e+05,145149,290302.331233692
"Yes","No",1e+05,157577,787895.490299491
"No","Yes",1e+05,122753,245509.512261787
"Yes","Yes",1e+05,40637,306365.769229359
"No","Yes",1e+05,181692,363389.69457111
"No","No",0,183179,4281.11821025693
"No","Yes",0,55919,111822.703383106
"Yes","Yes",1e+05,190010,1800098.12396411
"Yes","No",1e+05,126992,634977.480401738
"No","Yes",0,25086,50169.0772628493
"Yes","Yes",1e+05,183281,1732811.96966567
"Yes","Yes",0,39151,391508.759359293
"No","Yes",0,35006,70017.5989032022
"Yes","Yes",1e+05,93137,831384.688445897
"Yes","Yes",0,127614,1276140.24059871
"Yes","Yes",0,65574,655743.109870199
"Yes","Yes",1e+05,91047,810465.608218565
"No","Yes",0,95104,190206.868161439
"No","No",0,61637,2469.79778222149
"Yes","No",1e+05,176689,883484.597882639
"No","No",0,39168,1984.75528298383
"No","No",1e+05,26304,1627.37540154015
"Yes","No",0,151650,758263.985697535
"No","Yes",1e+05,103774,207530.751420444
"No","Yes",0,172118,344225.309723632
"No","No",1e+05,128163,3581.2536927276
"Yes","No",0,81676,408384.322626848
"Yes","Yes",0,58475,584748.092883539
"Yes","No",0,25062,125303.490831159
"No","No",1e+05,187357,4332.45805203256
"Yes","Yes",1e+05,180167,1701659.9363891
"Yes","Yes",1e+05,131826,1218249.63084902
"No","Yes",0,23655,47301.8556226264
"Yes","Yes",1e+05,31234,212342.976358291
"Yes","Yes",1e+05,59541,495417.147567938
"No","Yes",0,191710,383422.075591203
"Yes","No",0,191335,956690.155154038
"Yes","No",1e+05,179557,897780.908441988
"No","Yes",0,45712,91417.984185642
