"ZIQ","Piv","Target","Zyrc","Xelco","Yulos","Pilms","WAC"
2.58,1,9750.25,"Quilante",2006,61,8163.85714285714,"FC"
2.38,39,13245.13,"Vibranto",2017,25,6431.0243902439,"FC"
3.19,2,13318.14,"Vibranto",1993,33,6665.17647058824,"EM"
1.98,14,13201.03,"Vibranto",2004,50,4306.11111111111,"FB"
2.83,30,13275.16,"Vibranto",1999,79,3806.14285714286,"FC"
2.02,28,10209.81,"Solario",2016,11,4505.66666666667,"ET"
2.22,13,5164.86,"Ardent",2000,48,6594.35294117647,"ET"
2.41,13,5166.69,"Ardent",1994,70,6083.7012987013,"FC"
2.58,9,10258,"Brillante",1994,57,8597.33333333333,"FC"
2.75,3,9725,"Brillante",1987,48,1777.5,"FB"
2.63,1,9754.12,"Quilante",1989,47,6377,"FB"
1.93,70,13179.56,"Vibranto",2011,49,2993.17647058824,"ET"
2.64,52,9739.97,"Quilante",1977,72,2413.42528735632,"ET"
2.08,7,9783.39,"Quilante",2014,96,5469.11111111111,"FB"
2.04,19,9801.14,"Quilante",1977,2,7060.14285714286,"EM"
1.98,9,5088.12,"Ardent",1970,66,1757.30158730159,"ET"
2.39,13,10241.12,"Solario",1982,36,16407.7142857143,"FB"
2.4,3,9772.06,"Quilante",1995,72,3215.58823529412,"FB"
2.77,7,11720.5,"Esplen",1985,85,2598.05128205128,"FB"
3.04,16,13299.19,"Vibranto",1967,66,2300.59550561798,"FC"
2.29,3,10204.98,"Solario",2003,70,3715.91304347826,"EM"
2.72,2,4997.41,"Ardent",1996,9,5216,"EM"
2.14,9,10214,"Brillante",2008,83,1873.10101010101,"ET"
2.4,0,13227.96,"Vibranto",1992,23,4643.53731343284,"EM"
2.8,1,13263.82,"Vibranto",2006,73,6301.17647058824,"ET"
1.91,16,11817.01,"Esplen",2002,4,5807.45454545455,"ET"
2.61,44,13251.54,"Vibranto",2001,83,1376.82278481013,"EM"
2.14,13,13223.12,"Vibranto",1985,96,2390.58139534884,"ET"
2.62,42,10261.8,"Solario",2004,52,6692.55555555556,"FC"
1.96,9,9804,"Brillante",1975,23,6917.55555555556,"EM"
2.43,8,13243.32,"Vibranto",1990,32,9267.35294117647,"EM"
2.47,5,5021.58,"Ardent",1989,87,3910.15384615385,"FB"
2.62,14,13262.37,"Vibranto",1984,51,2365.59550561798,"EM"
3.23,34,11676.92,"Esplen",1992,82,3483,"ET"
2.7,21,11723.87,"Esplen",2011,24,52625,"FC"
1.94,79,9806,"Brillante",1973,26,22867,"FC"
2.6,3,9738.24,"Quilante",1983,96,3882.30303030303,"EM"
3.15,11,9685.18,"Quilante",2003,43,1891.46153846154,"FC"
2.62,57,9732.82,"Quilante",2002,29,6765.33333333333,"FB"
2.25,1,11757.38,"Esplen",1978,61,9552.33333333333,"FC"
2.11,7,9792.32,"Quilante",1987,92,5088.95652173913,"EM"
2.14,8,10208.02,"Solario",1968,79,2131.79069767442,"ET"
3.62,22,11628.8,"Esplen",1969,25,6375.7037037037,"FB"
2.61,3,9753.42,"Quilante",1986,2,6463.07692307692,"ET"
2.89,2,9698.21,"Quilante",1972,89,9678.55555555555,"EM"
2.88,22,11715.38,"Esplen",1988,87,6481,"EM"
2.25,8,11766.93,"Esplen",1981,67,4191.22222222222,"FC"
2.34,6,5044.71,"Ardent",1966,50,13045.1111111111,"ET"
2.96,35,9712.21,"Quilante",1978,31,5670.82978723404,"EM"
2.61,11,9752,"Quilante",2017,31,7574.82608695652,"FB"
2.72,8,10283.08,"Solario",2016,22,5510.5,"ET"
1.92,29,13181.31,"Vibranto",2011,21,6984.0243902439,"ET"
1.92,12,10196.81,"Solario",1979,36,6379.65957446809,"EM"
2.66,17,13293.22,"Vibranto",1994,31,9424.30769230769,"FC"
2.12,25,9784.22,"Quilante",1967,16,3768.81632653061,"FB"
3.11,15,9677.86,"Quilante",1983,18,5591.85185185185,"FB"
2.01,5,10201,"Brillante",1982,86,4635.11111111111,"FB"
2.48,25,9771.39,"Quilante",1980,2,6519.30158730159,"FC"
2.09,20,10214.99,"Solario",1974,63,5358.91304347826,"ET"
2.36,7,10217.97,"Solario",2003,43,102981,"FB"
1.52,5,9867.59,"Quilante",2004,29,7827.7037037037,"EM"
2.56,25,10259.32,"Solario",1983,26,4915.56790123457,"FC"
3.06,15,9697.63,"Quilante",2001,40,6091.18181818182,"FC"
2.53,3,4994.37,"Ardent",2016,82,3469.81927710843,"EM"
3.13,3,9695.84,"Quilante",1997,75,25561,"EM"
3.03,9,5084.12,"Ardent",1984,75,2849.22222222222,"FC"
