Piv,Zyrc,Xelco,Yulos,Pilms,WAC,ID,ZIQ
10,Solario,1971,82,3599.333333,FC,3530,2.35
26,Brillante,2001,54,10402.66667,FB,8715,2.72
4,Solario,1979,97,4391.051282,FC,3078,2.81
97,Solario,1966,13,10256.90909,ET,2711,2.5
54,Solario,2014,46,5491.268817,FC,3293,2.68
23,Esplen,2003,100,6445.903226,FC,6862,2.69
10,Quilante,1983,58,5406.351351,FB,1074,2.4
21,Ardent,2014,73,5805.450704,FB,9671,2.47
3,Vibranto,1984,42,34487.33333,FB,5103,2.49
0,Esplen,2007,2,3339.076923,ET,6552,2.23
35,Ardent,1999,51,7836.904762,FB,9221,3.4
3,Solario,1999,39,11494.85714,FB,3414,3.48
56,Esplen,2019,50,4998.904762,FB,6721,2.86
42,Ardent,1978,24,6319.385965,FB,9757,1.72
9,Quilante,1989,19,6814.352941,FB,1917,2.55
31,Solario,1992,83,4827.913043,ET,3346,3.05
1,Solario,1975,39,4212.901099,FC,2891,2.01
32,Vibranto,1990,41,5995.826087,ET,5323,2.54
32,Vibranto,2011,19,5032.428571,EM,5128,1.42
5,Esplen,1987,86,3335.851852,FC,7454,1.83
11,Solario,2013,24,4185.578947,FC,3638,2.7
40,Quilante,2001,15,7812.666667,FC,1915,2.44
1,Vibranto,2016,28,6286.826087,ET,5623,2.24
16,Quilante,1993,68,1570,FB,580,1.45
25,Quilante,2000,68,5239.461538,EM,1065,2.41
5,Vibranto,1998,68,9773.352941,EM,5517,2.5
24,Solario,1998,93,2295.789474,ET,2976,2.62
7,Vibranto,1978,9,5558.344262,FB,5861,3.44
1,Vibranto,2008,91,10098.55556,ET,4818,2.92
34,Brillante,1977,23,5474.901099,FC,8591,2.57
22,Solario,2010,100,4007.701299,FC,3277,2.9
13,Quilante,1970,70,4935.301587,EM,763,2.87
0,Vibranto,1992,37,3507.333333,EM,4430,2.64
30,Ardent,1980,54,5106.903226,ET,9062,2.71
22,Vibranto,2019,84,6004.5,EM,5964,2.7
41,Quilante,2015,20,13312,ET,810,3.33
33,Vibranto,2007,64,8047.806452,FB,4131,2.15
5,Quilante,2011,96,1743.537313,ET,67,2.34
4,Ardent,1993,93,6089.222222,EM,9745,2.82
33,Quilante,1968,33,5091.666667,FB,1896,2.21
7,Quilante,1988,51,3661.777778,EM,436,1.99
1,Quilante,2017,70,2164.571429,EM,170,2.5
17,Esplen,1979,1,4448.901099,FC,6291,2.83
18,Brillante,2012,43,6470.461538,FC,8165,2.3
4,Esplen,2011,30,12833.90909,EM,6311,3.58
28,Solario,2001,11,4727,FC,2380,2.44
4,Ardent,1968,46,6736.275862,FB,9429,3.16
0,Ardent,1992,87,2451.222222,ET,9845,2.45
10,Esplen,2003,6,4757.666667,FB,6696,2.78
30,Esplen,1967,47,8414.555556,FB,6318,2.15
9,Solario,1987,86,11243.66667,EM,2415,2.4
25,Quilante,1971,85,6617.659574,ET,1147,2.22
17,Esplen,1975,80,4245.819277,EM,7283,2.57
22,Esplen,1985,86,9994.352941,FB,7717,1.69
4,Vibranto,2018,44,9379.157895,ET,4419,2.69
1,Quilante,1979,69,2665.784314,ET,51,2.99
7,Solario,1992,79,11443.90909,ET,3411,2.49
8,Solario,1975,46,3316.901099,ET,2791,1.96
11,Quilante,1976,54,5731.829787,FB,394,3.51
10,Quilante,2007,24,5590.222222,FB,645,3.31
32,Solario,1998,70,2561.051282,EM,2978,2.94
15,Brillante,1977,34,5566.819277,ET,8983,2.7
12,Esplen,1993,22,22589,ET,7705,2.57
6,Vibranto,1972,65,3080.537313,FC,5167,3.13
25,Ardent,1968,11,3324.666667,FC,9360,2.62
47,Brillante,1998,20,10894,EM,8410,2.96
39,Quilante,2001,7,6255.537313,FC,467,2.57
7,Brillante,1995,12,10005,FB,8516,2.41
28,Quilante,1986,39,5368.454545,EM,522,2.09
4,Quilante,1994,99,6720.952381,FC,742,2.64
1,Vibranto,2004,97,24510,ET,4805,2.73
68,Quilante,1984,17,4952.176471,FB,934,2.16
16,Esplen,2001,98,1662.903226,FC,6062,2.66
22,Brillante,1981,3,2507.470588,FC,8985,2.75
3,Esplen,1977,27,5125.901099,EM,7891,2.95
