"NetWorth","Age","Education","Location","Party"
"High",95.87,"College","Central","Republican"
"Low",41.76,"College","WestCoast","Democrat"
"Low",20.66,"HighSchool","WestCoast","Democrat"
"Low",65.3,"HighSchool","EastCoast","Democrat"
"High",68.6,"College","EastCoast","Republican"
"High",83.19,"PrimarySchool","EastCoast","Republican"
"Medium",95.14,"College","WestCoast","Democrat"
"Medium",25.3,"PrimarySchool","EastCoast","Democrat"
"High",98.99,"College","Central","Republican"
"Medium",38.51,"PrimarySchool","Central","Democrat"
"High",71,"College","EastCoast","Republican"
"Low",89.87,"College","EastCoast","Republican"
"Low",92.18,"College","EastCoast","Democrat"
"High",23.4,"HighSchool","Central","Republican"
"Medium",94.65,"HighSchool","WestCoast","Republican"
"High",88.2,"PrimarySchool","EastCoast","Republican"
"High",56.82,"HighSchool","EastCoast","Republican"
"High",79.59,"HighSchool","EastCoast","Republican"
"High",25.47,"PrimarySchool","EastCoast","Republican"
"High",47.35,"College","WestCoast","Republican"
"High",57.91,"PrimarySchool","EastCoast","Republican"
"Medium",88.95,"HighSchool","WestCoast","Democrat"
"High",27.08,"College","EastCoast","Republican"
"Medium",62.88,"PrimarySchool","WestCoast","Republican"
"Low",86.12,"PrimarySchool","EastCoast","Republican"
"Medium",32.28,"College","EastCoast","Democrat"
"High",50.54,"College","WestCoast","Republican"
"Low",35.5,"College","EastCoast","Democrat"
"Medium",87.19,"PrimarySchool","Central","Republican"
"High",36.89,"College","Central","Republican"
"Low",59.29,"HighSchool","WestCoast","Republican"
"Medium",34.83,"PrimarySchool","EastCoast","Democrat"
"High",99.88,"PrimarySchool","Central","Republican"
"Medium",75.08,"HighSchool","WestCoast","Republican"
"High",90.79,"College","EastCoast","Republican"
"Low",72.82,"HighSchool","EastCoast","Republican"
"Low",23.77,"HighSchool","WestCoast","Republican"
"High",62,"HighSchool","Central","Republican"
"Medium",67.57,"College","WestCoast","Democrat"
"High",67,"College","WestCoast","Republican"
"Low",74.5,"College","Central","Republican"
"Low",80.13,"PrimarySchool","EastCoast","Republican"
"Low",43.75,"PrimarySchool","WestCoast","Republican"
"Medium",97.86,"College","EastCoast","Democrat"
"Medium",93.15,"College","WestCoast","Republican"
"High",31.81,"PrimarySchool","Central","Republican"
"High",93.39,"College","Central","Republican"
"High",68.45,"HighSchool","WestCoast","Republican"
"High",56.82,"College","Central","Republican"
"Medium",48.38,"HighSchool","EastCoast","Republican"
"Medium",29.96,"College","WestCoast","Democrat"
"Low",72.59,"College","WestCoast","Republican"
"Low",56.6,"PrimarySchool","EastCoast","Republican"
"Low",65.54,"HighSchool","EastCoast","Democrat"
"Medium",41.76,"PrimarySchool","WestCoast","Republican"
"Medium",55.73,"College","EastCoast","Democrat"
"Medium",70.82,"HighSchool","WestCoast","Republican"
"Medium",87.53,"PrimarySchool","EastCoast","Republican"
"High",58.18,"HighSchool","WestCoast","Republican"
"Low",49.25,"College","WestCoast","Democrat"
"High",40.48,"HighSchool","EastCoast","Republican"
"High",36.81,"HighSchool","EastCoast","Republican"
"High",94.27,"College","EastCoast","Republican"
"High",66.85,"HighSchool","WestCoast","Republican"
"High",36.46,"PrimarySchool","WestCoast","Republican"
"High",19.94,"College","WestCoast","Republican"
"Medium",82.92,"College","WestCoast","Republican"
"Low",80.9,"PrimarySchool","WestCoast","Republican"
"Low",96.87,"PrimarySchool","EastCoast","Republican"
"Low",74.25,"HighSchool","Central","Republican"
"Medium",75.55,"HighSchool","WestCoast","Democrat"
"Low",94.13,"PrimarySchool","WestCoast","Republican"
"High",50.79,"HighSchool","WestCoast","Republican"
"Medium",42.19,"HighSchool","WestCoast","Republican"
"Medium",52.78,"PrimarySchool","WestCoast","Republican"
"Medium",91.12,"College","EastCoast","Republican"
"Medium",66.87,"HighSchool","Central","Republican"
"Low",29.7,"PrimarySchool","EastCoast","Republican"
"Medium",53.45,"PrimarySchool","EastCoast","Republican"
"High",34.31,"HighSchool","Central","Republican"
"Medium",91.1,"College","EastCoast","Republican"
"Medium",79.06,"College","Central","Democrat"
"Low",86.03,"PrimarySchool","EastCoast","Republican"
"Medium",99,"HighSchool","Central","Democrat"
"High",81.91,"College","WestCoast","Republican"
"Low",24.34,"College","Central","Democrat"
"High",97.33,"PrimarySchool","EastCoast","Republican"
"Low",30.02,"College","EastCoast","Democrat"
"Medium",29.1,"HighSchool","WestCoast","Republican"
"Low",23.14,"HighSchool","EastCoast","Republican"
"Low",68.39,"College","Central","Democrat"
"Low",41.89,"PrimarySchool","EastCoast","Republican"
"Medium",43.44,"HighSchool","EastCoast","Democrat"
"High",79.39,"College","WestCoast","Republican"
"High",93.19,"HighSchool","Central","Republican"
"Low",87.58,"College","EastCoast","Democrat"
"Low",72.07,"College","Central","Democrat"
"Low",25.83,"HighSchool","Central","Republican"
"Low",56.63,"College","Central","Republican"
"Low",22.65,"College","WestCoast","Democrat"
"Medium",88.07,"College","Central","Democrat"
"Medium",85.97,"PrimarySchool","EastCoast","Republican"
"Medium",79.8,"HighSchool","Central","Republican"
"Low",29.85,"College","Central","Democrat"
"Low",91.18,"College","Central","Democrat"
"Medium",27.49,"College","EastCoast","Democrat"
"High",99.67,"HighSchool","WestCoast","Republican"
"Low",60.32,"HighSchool","WestCoast","Republican"
"Low",94.63,"PrimarySchool","WestCoast","Republican"
"High",70.98,"College","EastCoast","Republican"
"Medium",72.36,"HighSchool","EastCoast","Republican"
"Low",19.32,"PrimarySchool","WestCoast","Republican"
"Medium",28.92,"PrimarySchool","Central","Democrat"
"High",94.21,"PrimarySchool","WestCoast","Republican"
"Low",30.2,"PrimarySchool","WestCoast","Republican"
"Low",61.74,"College","Central","Republican"
"High",62.2,"HighSchool","EastCoast","Republican"
"High",72.46,"PrimarySchool","WestCoast","Republican"
"High",38.69,"College","Central","Republican"
"Medium",60.09,"HighSchool","WestCoast","Democrat"
"Low",28.47,"College","Central","Democrat"
"Medium",71.1,"College","EastCoast","Republican"
"Low",64.71,"College","EastCoast","Republican"
"Low",89.43,"College","WestCoast","Democrat"
"Medium",58.86,"PrimarySchool","WestCoast","Republican"
