Grade,Score,Dozing ,Texting,Asking
C,79.59,Never,Sometimes,Sometimes
B,81.02,Sometimes,Sometimes,Sometimes
F,40.17,Sometimes,Sometimes,Never
D,62.6,Sometimes,Never,Always
B,80.93,Always,Never,Sometimes
A,97.91,Always,Never,Always
C,65.24,Sometimes,Never,Always
B,85.1,Never,Always,Never
F,37.74,Never,Sometimes,Never
F,17.38,Always,Sometimes,Never
F,40.35,Always,Never,Never
F,13.4,Sometimes,Never,Never
D,52.25,Always,Never,Never
A,87.13,Never,Sometimes,Always
D,63.2,Sometimes,Never,Always
C,61.31,Sometimes,Sometimes,Never
C,68.72,Never,Always,Always
A,99.32,Always,Never,Always
F,6.3,Always,Never,Never
F,16.76,Never,Sometimes,Sometimes
B,85.84,Never,Always,Never
F,27.65,Never,Always,Sometimes
C,79.78,Always,Never,Sometimes
F,6.02,Always,Always,Always
F,14.69,Never,Sometimes,Sometimes
C,74.65,Never,Always,Always
F,28.39,Always,Always,Always
D,55.94,Always,Never,Never
A,90.94,Sometimes,Sometimes,Always
B,82.13,Never,Sometimes,Always
C,79.26,Always,Sometimes,Never
D,59.66,Always,Always,Sometimes
A,91.56,Never,Always,Sometimes
F,40,Always,Never,Sometimes
B,89.54,Sometimes,Never,Never
C,68.29,Always,Sometimes,Never
F,19.65,Sometimes,Sometimes,Sometimes
C,70.88,Sometimes,Never,Always
B,82.28,Always,Never,Never
F,41.89,Always,Never,Sometimes
F,16.73,Sometimes,Always,Always
C,76.66,Sometimes,Sometimes,Sometimes
F,0.98,Sometimes,Sometimes,Sometimes
F,19.08,Sometimes,Never,Never
F,25.29,Never,Sometimes,Never
F,30.62,Never,Sometimes,Sometimes
C,66.7,Always,Sometimes,Always
A,93.2,Always,Never,Always
C,69.73,Always,Always,Always
F,41.37,Sometimes,Always,Never
F,13.08,Always,Never,Always
C,65.82,Always,Sometimes,Never
F,48.1,Never,Never,Sometimes
D,58.83,Sometimes,Sometimes,Never
F,13,Always,Never,Never
F,20.2,Always,Never,Sometimes
C,64.01,Never,Sometimes,Never
D,56.55,Never,Sometimes,Always
C,73.09,Never,Always,Never
F,7.8,Sometimes,Never,Sometimes
F,9.52,Never,Always,Never
F,5.23,Always,Always,Never
F,5.05,Sometimes,Never,Always
C,67.65,Always,Never,Never
F,23.87,Never,Never,Never
