LinkedIN,Major,DOB,Salary,GPA,Tuition,College_location
5,Humanities,1968,10272.06,2.65,8093,EastCoast
23,Other,1984,5537.95,2.04,4325,EastCoast
48,STEM,1973,9803.02,1.92,9243,Central
5,Vocational,1952,13217.8,2.15,8644,EastCoast
23,Humanities,1995,10188.51,1.94,6246,EastCoast
38,Humanities,1981,10242.52,2.43,1236,WestCoast
1,Professional,1963,11683.03,3.3,7777,WestCoast
32,Vocational,2000,13250.7,2.55,7486,WestCoast
11,Professional,1983,11758.37,2.43,4244,WestCoast
19,Vocational,2004,13191.93,1.78,2547,EastCoast
16,Humanities,1958,10248.01,2.57,4553,EastCoast
34,Vocational,1964,13275.72,2.65,2528,EastCoast
3,Other,1997,5007.17,2.46,2618,EastCoast
2,Professional,1989,11695.58,3.01,1364,WestCoast
5,Vocational,1990,13278.9,2.77,6528,Central
11,Buisness,1971,9680,3.2,16174,WestCoast
18,Vocational,1953,13254.18,2.47,6099,EastCoast
23,Other,2002,5533.87,3.04,3161,WestCoast
25,Buisness,1960,10222,2.22,5952,EastCoast
12,Humanities,1955,10353.57,3.49,2555,EastCoast
25,STEM,2005,9694.16,3.13,6376,WestCoast
25,Humanities,1976,10234.82,2.27,8504,EastCoast
105,Humanities,1953,10294.83,2.9,7073,Central
36,Other,1952,6297.48,2.46,7164,Central
23,Vocational,2001,13233.69,2.35,9487,EastCoast
6,Vocational,1984,13213.68,2.36,5645,WestCoast
6,Vocational,2000,13260.1,2.58,1305,EastCoast
19,Professional,1999,11720.65,2.87,6184,EastCoast
17,Vocational,1957,13278.58,2.86,2606,EastCoast
9,Buisness,1965,9728,2.72,9089,WestCoast
23,Professional,1982,11735.08,2.6,7007,Central
20,Other,1987,5395.91,2.46,1962,WestCoast
36,Vocational,1967,13237.56,2.44,6695,WestCoast
35,Professional,1954,11705.03,3.23,6048,WestCoast
19,Humanities,1985,10211.28,2.25,1926,Central
36,Buisness,1991,9743,2.57,5803,WestCoast
7,Vocational,1955,13221.42,2.15,2926,EastCoast
24,Buisness,2003,9798,2.02,4588,WestCoast
2,Humanities,1987,10300.32,2.97,6462,WestCoast
9,STEM,2005,9745.19,2.47,1800,EastCoast
2,Humanities,1990,10256.1,2.7,1500,Central
8,STEM,1994,9733.12,2.52,6114,EastCoast
35,Humanities,2001,10217.03,2.04,1716,EastCoast
14,STEM,1972,9759.46,2.38,3520,WestCoast
6,Humanities,1999,10230.57,2.21,2715,WestCoast
3,Professional,1984,11708.54,3.08,5200,WestCoast
9,Vocational,1973,13276.47,2.68,7645,EastCoast
23,STEM,1965,9692.41,3.1,7178,EastCoast
15,Other,1987,5231.67,3.26,11349,WestCoast
5,Buisness,2001,9745,2.55,5788,EastCoast
14,Professional,2002,11768.53,2.4,4096,Central
30,Buisness,1959,9795,2.05,100987,Central
27,Humanities,1966,10236.05,2.36,3286,Central
17,Other,1965,5279.89,2.87,4567,EastCoast
1,Buisness,2005,9701,2.99,2737,Central
30,STEM,1993,9683.31,3.06,2126,WestCoast
11,Humanities,1985,10243.55,2.48,4408,Central
7,Vocational,2000,13232.91,2.27,3742,WestCoast
4,Professional,1976,11675.37,3.31,1103,EastCoast
4,Humanities,1956,10200.06,1.99,6406,WestCoast
60,STEM,1982,9750.37,2.61,2915,Central
1,Humanities,1972,10236.32,2.39,5344,Central
31,Vocational,1958,13243.62,2.52,3758,WestCoast
2,Professional,1957,11877.18,1.43,3422,WestCoast
14,Professional,1967,11758.37,2.41,1505,WestCoast
2,Humanities,1956,10229.31,2.23,2792,WestCoast
82,Buisness,1986,10294,2.94,4294,WestCoast
53,Other,1967,7805.79,2.69,3854,WestCoast
16,Humanities,1956,10258.48,2.6,3441,EastCoast
7,Humanities,1986,10280.24,2.65,6544,WestCoast
1,Vocational,1994,13202.29,2.1,5883,EastCoast
64,Buisness,1964,10263,2.63,5984,EastCoast
23,Professional,1992,11787.45,2.04,7689,WestCoast
20,Humanities,1988,10246.66,2.5,2326,Central
73,STEM,2001,9764.15,2.43,18814,WestCoast
20,Buisness,1971,9704,2.96,1659,WestCoast
16,STEM,2003,9813.64,1.8,14967,Central
18,Vocational,2005,13210.23,2.34,3951,Central
110,Vocational,1985,13304.4,3.07,3083,WestCoast
1,Professional,1973,11766.79,2.26,11255,WestCoast
0,Vocational,1974,13282.1,2.68,10205,EastCoast
9,STEM,2005,9704.22,3,4551,Central
60,Vocational,1963,13215.91,2.31,5423,EastCoast
9,Buisness,2004,10192,1.92,5803,Central
8,Other,1983,5049.45,1.91,4378,Central
4,STEM,1984,9757.89,2.38,5982,Central
14,Vocational,1992,13276.22,2.52,5278,EastCoast
43,STEM,1960,9770.74,2.26,5730,Central
11,Humanities,1963,10263.1,2.58,35236,Central
70,Professional,1983,11739.8,2.7,7590,Central
48,Professional,1964,11808.82,1.91,5076,Central
67,STEM,1969,9670.25,3.33,13759,WestCoast
12,Buisness,2000,10260,2.6,3368,Central
53,Humanities,1952,10207.57,1.83,5789,WestCoast
18,Humanities,1977,10181.18,1.95,4182,Central
2,Humanities,1968,10233.97,2.37,4642,WestCoast
18,Vocational,1993,13252.81,2.54,28883,WestCoast
6,Humanities,1964,10280.81,2.74,3710,EastCoast
25,Professional,1998,11792.54,2.09,5603,EastCoast
1,Professional,2004,11668.78,3.26,2771,WestCoast
15,Humanities,1954,10265.73,2.59,5521,EastCoast
1,Humanities,1957,10222.48,2.22,1929,Central
2,Vocational,1996,13298.54,2.99,5736,Central
12,Professional,1952,11724.15,2.9,4139,Central
19,Humanities,1983,10262.1,2.63,2584,EastCoast
30,Vocational,1964,13201.3,1.92,3160,EastCoast
14,Humanities,1989,10243.9,2.43,2496,EastCoast
16,Humanities,1954,10253.19,2.64,1317,WestCoast
38,Professional,1963,11814.89,2.02,6226,Central
15,Humanities,2002,10227.84,2.36,1718,EastCoast
8,Vocational,1961,13272.93,2.72,4793,EastCoast
12,Professional,1964,11843.17,1.5,8174,Central
36,STEM,1951,9759.17,2.24,4902,Central
16,STEM,1983,9673.67,3.29,5434,WestCoast
174,Vocational,1989,13270.56,2.6,3205,EastCoast
56,STEM,1953,9789.98,2.29,5158,EastCoast
25,Vocational,1956,13240.29,2.42,5833,WestCoast
2,Buisness,1994,10310,3.1,4830,Central
39,Other,2000,6529.97,2.71,4658,EastCoast
13,Professional,2000,11815.82,2.02,5198,Central
21,Other,1988,5453.51,2.82,5571,EastCoast
26,Professional,1991,11686.72,3.09,52763,WestCoast
40,STEM,1959,9683.94,3.12,6119,EastCoast
5,Other,1970,5019,2.66,4468,WestCoast
11,STEM,2002,9724.09,2.88,2356,Central
90,Buisness,1955,9810,1.9,37993,EastCoast
2,Professional,1960,11668.5,3.08,5555,EastCoast
12,Vocational,1973,13228.13,2.43,4664,EastCoast
56,Vocational,1951,13200.28,2.04,9712,EastCoast
28,Professional,1961,11807.87,2.12,2133,Central
7,Other,1973,5049.08,2.96,9794,Central
19,Professional,1963,11790.61,2.14,2881,Central
11,Buisness,1955,9684,3.16,2864,WestCoast
4,Professional,1986,11703.63,2.95,5767,EastCoast
28,STEM,2005,9726.43,2.88,4008,WestCoast
18,Humanities,1977,10241.06,2.36,7605,WestCoast
14,Professional,1998,11688.92,3.05,5367,WestCoast
20,Vocational,1965,13223.38,2.21,12447,WestCoast
7,Other,1963,5052.11,2.13,5134,WestCoast
25,Humanities,1967,10263.77,2.69,2088,EastCoast
83,Professional,1982,11738.89,2.62,13073,WestCoast
7,Humanities,1997,10257.15,2.52,5190,WestCoast
29,Humanities,1968,10295.53,2.83,20384,EastCoast
