"Genre","Content","Audience","Income","RATING","ID"
"Drama","PG13",37187.15,18994.74,"Average",1
"Drama","R",13566.98,10935.63,"Great",2
"Comedy","R",22290.89,36111.17,"Average",3
"Drama","PG",5585.34,30953.26,"Great",4
"Action","PG13",6005.56,9163.31,"Average",5
"Comedy","R",23626.31,25679.48,"Average",6
"Comedy","R",6221.58,46560.96,"Great",7
"Action","PG",28316.55,28333.87,"Average",8
"Action","PG13",18276,46986.6,"Great",9
"Drama","R",1274.44,35512.43,"Great",10
"Action","R",10460.29,30423.23,"Average",11
"Action","PG13",983.21,12439.37,"Great",12
"Action","R",32924.26,16479.75,"Great",13
"Documentary","R",20655.99,10547.08,"Average",14
"Action","PG13",28203.06,8292.64,"Average",15
"Comedy","PG",7725.12,27562.06,"Great",16
"Documentary","PG",3384.04,5000.75,"Average",17
"Drama","PG",3103.91,1016.72,"Great",18
"Documentary","PG13",1992.97,30811.64,"Great",19
"Comedy","PG13",38714.07,47335.88,"Average",20
"Comedy","R",34982.61,47684.23,"Average",21
"Comedy","R",11685.61,262.53,"Average",22
"Comedy","R",16044.63,14475.59,"Average",23
"Drama","PG",36168.86,7594.5,"Average",24
"Comedy","PG",31647.12,789.1,"Average",25
"Documentary","R",5148.22,29182.17,"Great",26
"Comedy","PG",35694.63,15704.81,"Average",27
"Documentary","PG13",31465.96,9841.4,"Average",28
"Drama","PG",14503.19,28728.03,"Average",29
"Comedy","PG13",16828.09,11359.93,"Average",30
"Comedy","PG13",3759.2,35151.63,"Great",31
"Action","PG13",16814.01,32230.46,"Average",32
"Action","PG",15594.09,15785,"Average",33
"Documentary","PG13",19220,26193.28,"Average",34
"Drama","PG13",35578.55,36671.16,"Average",35
"Documentary","PG13",29119.98,38565.56,"Average",36
"Documentary","PG",31086.52,10660.04,"Average",37
"Drama","PG13",31677.46,36935.05,"Average",38
"Drama","R",24035.5,1761.84,"Average",39
"Comedy","PG13",14942.85,13155.8,"Average",40
"Documentary","PG13",15888.11,30282.35,"Average",41
"Action","R",18877.63,34779.45,"Average",42
"Action","PG",15806.42,47493.83,"Great",43
"Action","PG",11377.79,15756.13,"Average",44
"Action","PG13",35582.41,12957.34,"Average",45
"Drama","PG",35331.02,25665.17,"Average",46
"Comedy","R",12360.95,35600.28,"Great",47
"Drama","R",38972.23,26925.59,"Great",48
"Drama","PG13",17928.35,31564.2,"Average",49
"Drama","PG13",7443.68,7450.57,"Average",50
"Comedy","PG",23324.37,9150.53,"Average",51
"Drama","PG13",8798.54,40568.93,"Great",52
"Documentary","PG13",17060.62,48075.68,"Great",53
"Action","PG",10626.8,27332.24,"Great",54
"Documentary","PG",25291.8,36775.22,"Average",55
"Comedy","R",36498.25,28522.65,"Average",56
"Drama","R",8105.67,13775.81,"Great",57
"Drama","PG13",3733.33,15806.4,"Great",58
"Action","PG13",18227.61,31236.97,"Average",59
"Drama","PG13",27653.32,23949.04,"Average",60
"Documentary","R",19398.58,14938.39,"Average",61
"Documentary","PG13",30799.55,1320.24,"Average",62
"Comedy","PG13",26493.6,49740.39,"Average",63
"Comedy","PG13",3509.1,17954.41,"Great",64
"Documentary","R",10679.67,14160.43,"Average",65
"Drama","R",24938.18,47738.48,"Great",66
"Action","PG",12703.49,8206.09,"Average",67
"Action","PG",20591.45,30486.92,"Average",68
"Action","PG13",17939.24,48879.24,"Great",69
"Documentary","PG13",35523.16,37491.89,"Average",70
"Documentary","PG13",36913.1,18467.29,"Average",71
"Drama","PG",20223.75,9123.4,"Average",72
"Documentary","PG13",31633.76,9858.43,"Average",73
"Documentary","PG",12831.21,8496.84,"Average",74
"Action","PG",17684.33,11652.57,"Average",75
"Documentary","R",9640.37,21625.08,"Average",76
"Comedy","PG13",27383.95,2990.36,"Average",77
"Comedy","PG",12470.67,44775.6,"Great",78
"Action","PG13",38898.44,32127.47,"Average",79
"Action","PG13",1555.49,38814.69,"Great",80
"Comedy","PG13",36407.54,4915.35,"Average",81
"Comedy","PG",3356.87,14421.99,"Great",82
"Drama","PG13",20649.34,33913.97,"Average",83
"Documentary","PG",22089.79,27278.37,"Average",84
"Action","PG13",16814.97,48189.27,"Great",85
"Documentary","R",35257.83,21987.55,"Average",86
"Drama","PG",12921.04,46455.4,"Great",87
"Documentary","PG",2544.34,32144.95,"Great",88
"Action","R",38040.35,5971.86,"Great",89
"Drama","PG",13219.87,698.18,"Average",90
"Action","R",28468.78,28351.77,"Average",91
"Action","R",26439.11,29223.21,"Average",92
"Documentary","PG",503,11279.8,"Great",93
"Comedy","PG",5635.02,11196.68,"Great",94
"Drama","PG13",27067.81,6029.83,"Average",95
