Genre,Content,Audience,Income,ID
Drama,PG13,37187.15,18994.74,1
Drama,R,13566.98,10935.63,2
Comedy,R,22290.89,36111.17,3
Drama,PG,5585.34,30953.26,4
Action,PG13,6005.56,9163.31,5
Comedy,R,23626.31,25679.48,6
Comedy,R,6221.58,46560.96,7
Action,PG,28316.55,28333.87,8
Action,PG13,18276,46986.6,9
Drama,R,1274.44,35512.43,10
Action,R,10460.29,30423.23,11
Action,PG13,983.21,12439.37,12
Action,R,32924.26,16479.75,13
Documentary,R,20655.99,10547.08,14
Action,PG13,28203.06,8292.64,15
Comedy,PG,7725.12,27562.06,16
Documentary,PG,3384.04,5000.75,17
Drama,PG,3103.91,1016.72,18
Documentary,PG13,1992.97,30811.64,19
Comedy,PG13,38714.07,47335.88,20
Comedy,R,34982.61,47684.23,21
Comedy,R,11685.61,262.53,22
Comedy,R,16044.63,14475.59,23
Drama,PG,36168.86,7594.5,24
Comedy,PG,31647.12,789.1,25
Documentary,R,5148.22,29182.17,26
Comedy,PG,35694.63,15704.81,27
Documentary,PG13,31465.96,9841.4,28
Drama,PG,14503.19,28728.03,29
Comedy,PG13,16828.09,11359.93,30
Comedy,PG13,3759.2,35151.63,31
Action,PG13,16814.01,32230.46,32
Action,PG,15594.09,15785,33
Documentary,PG13,19220,26193.28,34
Drama,PG13,35578.55,36671.16,35
Documentary,PG13,29119.98,38565.56,36
Documentary,PG,31086.52,10660.04,37
Drama,PG13,31677.46,36935.05,38
Drama,R,24035.5,1761.84,39
Comedy,PG13,14942.85,13155.8,40
Documentary,PG13,15888.11,30282.35,41
Action,R,18877.63,34779.45,42
Action,PG,15806.42,47493.83,43
Action,PG,11377.79,15756.13,44
Action,PG13,35582.41,12957.34,45
Drama,PG,35331.02,25665.17,46
Comedy,R,12360.95,35600.28,47
Drama,R,38972.23,26925.59,48
Drama,PG13,17928.35,31564.2,49
Drama,PG13,7443.68,7450.57,50
Comedy,PG,23324.37,9150.53,51
Drama,PG13,8798.54,40568.93,52
Documentary,PG13,17060.62,48075.68,53
Action,PG,10626.8,27332.24,54
Documentary,PG,25291.8,36775.22,55
Comedy,R,36498.25,28522.65,56
Drama,R,8105.67,13775.81,57
Drama,PG13,3733.33,15806.4,58
Action,PG13,18227.61,31236.97,59
Drama,PG13,27653.32,23949.04,60
Documentary,R,19398.58,14938.39,61
Documentary,PG13,30799.55,1320.24,62
Comedy,PG13,26493.6,49740.39,63
Comedy,PG13,3509.1,17954.41,64
Documentary,R,10679.67,14160.43,65
Drama,R,24938.18,47738.48,66
Action,PG,12703.49,8206.09,67
Action,PG,20591.45,30486.92,68
Action,PG13,17939.24,48879.24,69
Documentary,PG13,35523.16,37491.89,70
Documentary,PG13,36913.1,18467.29,71
Drama,PG,20223.75,9123.4,72
Documentary,PG13,31633.76,9858.43,73
Documentary,PG,12831.21,8496.84,74
Action,PG,17684.33,11652.57,75
Documentary,R,9640.37,21625.08,76
Comedy,PG13,27383.95,2990.36,77
